ts_unix,elapsed_sec,pe1_rss_mb,pe2_rss_mb,pe1_df_role,pe2_df_role,pe1_df_changes,pe2_df_changes,pe1_bum_flags,pe2_bum_flags,pe2_running,pe1_established_seen,pe2_established_seen,pe1_pool_size,pe2_pool_size,pe1_fdb_total,pe2_fdb_total,pe1_fdb_extern_learn,pe2_fdb_extern_learn,pe1_nh_count,pe2_nh_count,pe1_local_origs,pe2_local_origs,pe1_local_orig_errors,pe2_local_orig_errors,pe1_local_obs_drops,pe2_local_obs_drops,pe1_dup_mac_moves,pe2_dup_mac_moves,pe1_drift_members_repaired,pe2_drift_members_repaired,pe1_drift_groups_replaced,pe2_drift_groups_replaced,pe1_drift_orphans_cleaned,pe2_drift_orphans_cleaned,pe1_drift_disabled,pe2_drift_disabled,churn_adds_total,churn_dels_total,churn_moves_total
1778872955,121,12.8398,12.4688,1,0,NaN,1,df,nondf,1,2,1,5,0,37,27,0,18,0,0,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
1778873015,181,15.5,15.875,1,0,NaN,1,df,nondf,1,2,1,199,155,878,936,453,597,0,0,249,202,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,400,50,1
1778873076,242,15.8867,16.8438,1,0,NaN,1,df,nondf,1,2,1,199,201,1028,1026,603,597,0,0,299,420,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,550,150,1
1778873137,303,16.3711,17.0078,1,0,NaN,1,df,nondf,1,2,1,249,251,1278,1276,753,747,0,0,349,652,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,650,150,1
1778873198,364,16.8008,17.0078,1,0,NaN,1,df,nondf,1,2,1,161,157,829,828,480,483,0,0,411,704,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,762,450,1
1778873259,425,16.8906,17.0117,1,0,NaN,1,df,nondf,1,2,1,208,202,1051,911,606,480,0,0,554,853,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,962,550,2
1778873320,486,16.8594,17.2266,1,0,NaN,1,df,nondf,1,2,1,257,253,1298,1301,759,768,0,0,791,904,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,1110,600,3
1778873380,546,16.9023,17.4688,1,0,NaN,1,df,nondf,1,2,1,228,253,1240,1238,759,705,0,0,909,1004,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,1262,750,5
1778873441,607,17.0352,17.3516,1,0,NaN,1,df,nondf,1,2,1,209,253,1204,1158,759,627,0,0,1059,1058,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,1462,1000,5
1778873504,670,16.8984,0.761719,1,NaN,NaN,NaN,df,df,0,2,0,196,264,417,557,0,0,0,0,1240,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,1610,1150,86
1778873565,731,16.8984,0.8125,1,NaN,NaN,NaN,df,df,0,2,0,240,255,507,533,0,0,0,0,1390,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,1710,1200,336
