reload,load_timestamp_epoch_us,refresh_timestamp_epoch_us,hashed,parsed,exact_reused,source_rebound,changed,failed,eligible,refreshed,skipped_not_established,refresh_failures,sessions_up,parse_errors
1,1790424963962627,1790424964855383,640,36,604,0,36,0,36,36,0,0,320,0
2,1790424987340667,1790424988204858,640,36,604,0,36,0,36,36,0,0,320,0
3,1790425009897645,1790425010778567,640,36,604,0,36,0,36,36,0,0,320,0
4,1790425033409780,1790425034276564,640,36,604,0,36,0,36,36,0,0,320,0
