phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1926556.34	2026-07-26T20:00:51Z	0.29	64/64	none	111228244	1048576	0	0	1
postbuild	1926558.74	2026-07-26T20:00:54Z	0.26	64/64	none	111218928	1048576	0	0	1
