members,variant,table_routes,withheld_routes,cold_convergence_seconds,apply_seconds,apply_allocated_delta_bytes,apply_rss_delta_kib,blocked_allocated_bytes,recovery_apply_seconds,recovery_seconds,recovery_wall_seconds,recovery_max_slice_bucket_lower_seconds,recovery_max_slice_bucket_upper_seconds,recovered_allocated_bytes,recovered_vm_rss_kib,recovered_vm_hwm_kib,rss_samples,sampled_max_vm_rss_kib,sampled_max_vm_hwm_kib,checks_total,checks_failed
1,candidate,400000,64,0.706593,0.020705314,9981024,9628,343015688,0.001622969,0.274244704,1.401008763,0.2,0.5,332916816,333420,484380,11,386368,484380,71,0
1,control,400000,64,0.708159,6.911e-06,152608,876,332378592,7.671e-06,,0.102849116,,,332244224,325164,390164,10,360728,390164,69,0
10,candidate,400000,64,0.807907,0.221310527,99867256,86332,432689600,0.008503148,2.755427506,3.941656727,0.2,0.5,332818304,370332,521780,14,522456,522456,431,0
10,control,400000,64,0.809313,1.6986e-05,472944,-17792,332905688,1.8467e-05,,0.10317639,,,333128768,331784,402388,10,376736,402388,429,0
100,candidate,400000,64,1.111141,2.073557916,997090760,952612,1339842616,0.07597346,27.064279369,29.283564918,0.2,0.5,342810328,369044,1339748,46,1341616,1341616,4031,0
100,control,400000,64,1.212919,0.000188652,482488,-4708,343036152,0.000161632,,0.004970902,,,343291944,378232,412848,14,492760,495932,4029,0
