attempt	pair	slot	arm	document_bytes	sha256	elapsed_ns	baseline_hwm_bytes	peak_hwm_bytes	growth_bytes	statements	max_chunk_statements
1	1	1	legacy	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	2357159956	1349566464	2958602240	1609035776	0	0
2	1	2	bounded	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	1572314631	1349447680	1760735232	411287552	3200000	256
3	2	1	bounded	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	1568608275	1349378048	1760751616	411373568	3200000	256
4	2	2	legacy	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	2353309500	1349369856	2958266368	1608896512	0	0
5	3	1	legacy	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	2360390921	1349373952	2959409152	1610035200	0	0
6	3	2	bounded	342422071	9dafaa232a0791fc5d5ebaa72b56c475c6a3b1f11714958e82527b5e8aa33328	1593628184	1349603328	1761787904	412184576	3200000	256
