phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1925011.43	2026-07-26T19:35:07Z	0.51	64/64	none	111126056	1048576	0	0	1
postbuild	1925013.82	2026-07-26T19:35:09Z	0.47	64/64	none	111155228	1048576	0	0	1
