phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1925167.15	2026-07-26T19:37:42Z	0.54	64/64	none	111176580	1048576	0	0	1
postbuild	1925169.53	2026-07-26T19:37:45Z	0.49	64/64	none	111092668	1048576	0	0	1
