repeat,cell,reload,peers_total,peers_changed,peers_stable,prefixes,completion_p50_s,completion_p95_s,completion_max_s,changed_maxgap_p50_ms,changed_maxgap_p95_ms,changed_maxgap_max_ms,all_observer_maxgap_p50_ms,all_observer_maxgap_p95_ms,all_observer_maxgap_max_ms,changed_first_generation_update_p50_ms,changed_first_generation_update_p95_ms,changed_first_generation_update_max_ms,rss_before_mib,rss_after_mib,stable_marker_peers,sessions_up,parse_errors
A,rustbgpd-sighup-grouped-control,1,320,320,0,183040,1.687504,1.751060,1.916459,165.386,223.088,281.845,165.386,223.088,281.845,1562.166,1620.034,1678.186,733,1230,0,320,0
A,rustbgpd-sighup-grouped-control,2,320,320,0,183040,4.399579,4.473188,4.484336,2808.390,2855.388,2989.664,2808.390,2855.388,2989.664,4282.630,4329.996,4463.334,1151,1628,0,320,0
A,rustbgpd-sighup-grouped-control,3,320,320,0,183040,4.419832,4.491897,4.497460,2830.584,2899.753,2937.334,2830.584,2899.753,2937.334,4295.482,4364.257,4402.164,1400,1920,0,320,0
A,rustbgpd-sighup-grouped-control,4,320,320,0,183040,4.551292,4.636435,4.647186,3048.831,3226.156,3254.355,3048.831,3226.156,3254.355,4433.917,4611.302,4639.510,1403,1904,0,320,0
B,rustbgpd-sighup-grouped-control,1,320,320,0,183040,1.706939,1.769611,1.779106,187.235,219.406,233.597,187.235,219.406,233.597,1596.306,1628.192,1643.039,732,1219,0,320,0
B,rustbgpd-sighup-grouped-control,2,320,320,0,183040,4.538889,4.611639,4.619467,2930.742,2975.759,3032.478,2930.742,2975.759,3032.478,4419.989,4464.483,4521.911,1126,1631,0,320,0
B,rustbgpd-sighup-grouped-control,3,320,320,0,183040,4.412472,4.495616,4.504434,2845.272,2963.407,2989.238,2845.272,2963.407,2989.238,4294.028,4411.935,4438.328,1400,1920,0,320,0
B,rustbgpd-sighup-grouped-control,4,320,320,0,183040,4.425125,4.494064,4.504921,2911.742,2988.858,3063.675,2911.742,2988.858,3063.675,4300.922,4378.719,4452.157,1406,1902,0,320,0
