repeat,cell,reload,peers_total,peers_changed,peers_stable,prefixes,completion_p50_s,completion_p95_s,completion_max_s,changed_maxgap_p50_ms,changed_maxgap_p95_ms,changed_maxgap_max_ms,all_observer_maxgap_p50_ms,all_observer_maxgap_p95_ms,all_observer_maxgap_max_ms,changed_first_generation_update_p50_ms,changed_first_generation_update_p95_ms,changed_first_generation_update_max_ms,rss_before_mib,rss_after_mib,stable_marker_peers,sessions_up,parse_errors
A,rustbgpd-sighup,1,320,320,0,183040,70.966711,132.763948,139.491324,370.205,376.413,388.199,375.965,376.542,388.199,70963.256,132760.792,139486.648,9790,10438,0,320,0
A,rustbgpd-sighup,2,320,320,0,183040,144.821340,208.585480,215.648231,37192.614,37192.675,52160.168,37192.614,37192.675,52160.168,144818.255,208582.146,215644.576,10411,10804,0,320,0
A,rustbgpd-sighup,3,320,320,0,183040,142.985184,205.063679,212.020311,55071.948,55073.444,56256.989,55071.948,55073.444,56256.989,142981.808,205060.345,212016.193,10789,10828,0,320,0
A,rustbgpd-sighup,4,320,320,0,183040,141.271217,201.190874,207.914447,36927.487,36927.697,55548.552,36927.487,36927.697,55548.552,141268.066,201187.118,207910.690,10517,10829,0,320,0
A,bird,1,320,320,0,183040,13.550865,14.331264,14.403635,803.517,1431.218,1897.214,863.087,1489.286,1897.214,1793.503,2212.351,2966.963,0,0,0,320,0
A,bird,2,320,320,0,183040,12.738257,14.079006,14.175270,814.233,1460.689,2116.974,829.406,1460.689,2116.974,1560.255,2012.273,2724.632,0,0,0,320,0
A,bird,3,320,320,0,183040,12.743345,13.778820,13.822393,796.828,1327.538,2211.807,798.133,1327.538,2211.807,1524.936,1920.296,2604.915,0,0,0,320,0
A,bird,4,320,320,0,183040,12.920928,14.151362,14.210935,786.114,1383.803,2136.385,797.354,1383.803,2136.385,1543.795,1953.970,2577.377,0,0,0,320,0
A,openbgpd,1,320,320,0,183040,67.287436,67.294040,67.303573,383.924,384.461,396.148,383.924,384.461,396.148,7553.719,7554.540,7780.529,0,0,0,320,0
A,openbgpd,2,320,320,0,183040,64.307659,64.309955,64.312988,444.185,444.601,447.180,444.185,444.601,447.180,8379.652,8380.443,8610.161,0,0,0,320,0
A,openbgpd,3,320,320,0,183040,66.126787,66.129111,66.132568,417.586,418.089,418.114,417.586,418.089,418.114,8326.764,8327.712,8498.574,0,0,0,320,0
A,openbgpd,4,320,320,0,183040,63.152572,63.154867,63.156854,486.696,487.296,487.352,486.696,487.296,487.352,8211.419,8212.466,8420.465,0,0,0,320,0
B,rustbgpd-sighup,1,320,320,0,183040,68.355559,127.672047,134.206504,372.266,372.493,387.322,372.266,372.493,387.322,68351.939,127669.063,134201.721,9790,10435,0,320,0
B,rustbgpd-sighup,2,320,320,0,183040,134.176750,193.310336,199.846830,46780.804,46783.119,54467.226,46780.804,46783.119,54467.226,134173.432,193307.395,199842.658,10416,10815,0,320,0
B,rustbgpd-sighup,3,320,320,0,183040,135.937380,195.740945,202.546463,41163.481,41164.768,41387.351,41163.481,41164.768,41387.351,135934.063,195737.395,202542.238,10386,10811,0,320,0
B,rustbgpd-sighup,4,320,320,0,183040,135.509560,194.892904,201.513855,53435.021,53436.505,54341.659,53435.021,53436.505,54341.659,135506.426,194889.867,201509.106,10588,10835,0,320,0
B,bird,1,320,320,0,183040,12.336657,13.734595,13.841683,835.790,1547.857,2296.555,835.790,1547.857,2296.555,1742.017,2169.096,3525.109,0,0,0,320,0
B,bird,2,320,320,0,183040,11.879600,13.325963,13.414066,816.821,1562.375,2399.799,859.814,1562.375,2399.799,1516.942,1962.371,2751.507,0,0,0,320,0
B,bird,3,320,320,0,183040,12.433795,13.144069,13.175319,760.252,1384.313,2143.739,762.962,1405.793,2143.739,1526.662,1857.335,2559.599,0,0,0,320,0
B,bird,4,320,320,0,183040,12.037971,13.537755,13.625138,829.492,2545.624,4123.937,845.185,2545.624,4123.937,1569.252,1970.439,2837.794,0,0,0,320,0
B,openbgpd,1,320,320,0,183040,64.518328,64.526823,64.531515,370.024,370.489,379.536,370.024,370.489,379.536,7390.549,7391.239,7559.637,0,0,0,320,0
B,openbgpd,2,320,320,0,183040,58.675467,58.680465,58.681869,416.065,416.320,424.865,416.065,416.320,424.865,7553.298,7553.996,7645.093,0,0,0,320,0
B,openbgpd,3,320,320,0,183040,61.452078,61.456315,61.460921,438.544,439.036,439.082,438.544,439.036,439.082,7598.952,7599.835,7760.943,0,0,0,320,0
B,openbgpd,4,320,320,0,183040,58.568902,58.570902,58.573678,494.977,495.469,497.104,494.977,495.469,497.104,7467.477,7468.201,7589.858,0,0,0,320,0
