ts_unix,elapsed_sec,pe1_rss_mb,pe2_rss_mb,pe1_df_role,pe2_df_role,pe1_df_changes,pe2_df_changes,pe1_bum_flags,pe2_bum_flags,pe2_running
1778431486,4795,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778431547,4856,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778431608,4917,13.2227,11.1016,NaN,NaN,NaN,NaN,df,df,1
1778431669,4978,13.2227,11.1016,NaN,NaN,NaN,NaN,df,df,1
1778431729,5038,13.2227,11.1016,NaN,NaN,NaN,NaN,df,df,1
1778431790,5099,13.2227,12.1758,NaN,NaN,NaN,NaN,df,df,1
1778431850,5159,13.2227,12.1758,NaN,NaN,NaN,NaN,df,df,1
1778431911,5220,13.2227,12.1758,NaN,NaN,NaN,NaN,df,df,1
1778431971,5280,13.2227,12.1758,NaN,NaN,NaN,NaN,df,df,1
1778432032,5341,13.2227,12.1758,NaN,NaN,NaN,NaN,df,df,1
1778432092,5401,13.2227,12.1758,NaN,NaN,NaN,NaN,df,df,1
1778432152,5461,13.2227,12.1758,NaN,NaN,NaN,NaN,df,df,1
1778432218,5527,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778432278,5587,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778432339,5648,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778432399,5708,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778432459,5768,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778432520,5829,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778432580,5889,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778432641,5950,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778432701,6010,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778432761,6070,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778432823,6132,13.2227,11.5898,NaN,NaN,NaN,NaN,df,df,1
1778432884,6193,13.2227,11.5898,NaN,NaN,NaN,NaN,df,df,1
1778432944,6253,13.2227,11.5898,NaN,NaN,NaN,NaN,df,df,1
1778433005,6314,13.2227,11.5898,NaN,NaN,NaN,NaN,df,df,1
1778433065,6374,13.2227,11.5898,NaN,NaN,NaN,NaN,df,df,1
1778433125,6434,13.2227,11.5898,NaN,NaN,NaN,NaN,df,df,1
1778433186,6495,13.2227,11.5898,NaN,NaN,NaN,NaN,df,df,1
1778433246,6555,13.2227,12.1953,NaN,NaN,NaN,NaN,df,df,1
1778433307,6616,13.2227,12.1953,NaN,NaN,NaN,NaN,df,df,1
1778433367,6676,13.2227,12.1953,NaN,NaN,NaN,NaN,df,df,1
1778433433,6742,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778433493,6802,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778433554,6863,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778433614,6923,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778433674,6983,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778433735,7044,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778433795,7104,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778433855,7164,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778433916,7225,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778433976,7285,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778434038,7347,13.2227,10.207,NaN,NaN,NaN,NaN,df,df,1
1778434098,7407,13.2227,11.2578,NaN,NaN,NaN,NaN,df,df,1
1778434159,7468,13.2227,11.2578,NaN,NaN,NaN,NaN,df,df,1
1778434219,7528,13.2227,11.2578,NaN,NaN,NaN,NaN,df,df,1
1778434280,7589,13.2227,11.2578,NaN,NaN,NaN,NaN,df,df,1
1778434340,7649,13.2227,11.2578,NaN,NaN,NaN,NaN,df,df,1
1778434401,7710,13.2227,11.2578,NaN,NaN,NaN,NaN,df,df,1
1778434461,7770,13.2227,11.2578,NaN,NaN,NaN,NaN,df,df,1
1778434521,7830,13.2227,11.2578,NaN,NaN,NaN,NaN,df,df,1
1778434582,7891,13.2227,11.7461,NaN,NaN,NaN,NaN,df,df,1
1778434648,7957,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778434708,8017,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778434768,8077,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778434829,8138,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778434889,8198,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778434949,8258,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778435010,8319,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778435070,8379,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778435130,8439,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778435191,8500,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778435253,8562,13.2227,11.625,NaN,NaN,NaN,NaN,df,df,1
1778435313,8622,13.2227,11.625,NaN,NaN,NaN,NaN,df,df,1
1778435373,8682,13.2227,11.625,NaN,NaN,NaN,NaN,df,df,1
1778435434,8743,13.2227,11.625,NaN,NaN,NaN,NaN,df,df,1
1778435494,8803,13.2227,11.625,NaN,NaN,NaN,NaN,df,df,1
1778435555,8864,13.2227,11.625,NaN,NaN,NaN,NaN,df,df,1
1778435615,8924,13.2227,11.625,NaN,NaN,NaN,NaN,df,df,1
1778435676,8985,13.2227,11.625,NaN,NaN,NaN,NaN,df,df,1
1778435736,9045,13.2227,11.625,NaN,NaN,NaN,NaN,df,df,1
1778435797,9106,13.2227,11.625,NaN,NaN,NaN,NaN,df,df,1
1778435862,9171,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778435923,9232,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778435983,9292,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778436043,9352,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778436104,9413,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778436164,9473,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778436224,9533,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778436285,9594,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778436345,9654,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778436405,9714,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
