phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1926965.69	2026-07-26T20:07:41Z	0.51	64/64	none	111202564	1048576	0	0	1
postbuild	1926968.07	2026-07-26T20:07:43Z	0.47	64/64	none	111191432	1048576	0	0	1
