epoch_s,latency_ms,exit
1789062834.185527014,14.3,0
1789062834.253270301,10.2,0
1789062834.316861755,10.2,0
1789062834.380353429,10.6,0
1789062834.444655046,10.1,0
1789062834.508283305,10.0,0
1789062834.571735830,9.9,0
1789062834.635013073,10.2,0
1789062834.698841031,9.9,0
1789062834.762505885,9.2,0
1789062834.824996298,9.8,0
1789062834.888400751,9.8,0
1789062834.951734158,10.3,0
1789062835.015830529,10.2,0
1789062835.079698547,10.6,0
1789062835.143840876,11.1,0
1789062835.208513009,12.8,0
1789062835.275631870,11.5,0
1789062835.340359246,10.8,0
1789062835.404710458,12.6,0
1789062835.470915319,13.8,0
1789062835.538372817,10.9,0
1789062835.602786253,10.7,0
1789062835.667263304,10.4,0
1789062835.731084111,10.9,0
1789062835.795619769,12.3,0
1789062835.861373705,9.2,0
1789062835.923888905,10.5,0
1789062835.988807428,11.1,0
1789062836.053511839,10.2,0
1789062836.117161510,9.3,0
1789062836.180675017,10.4,0
1789062836.244580922,11.8,0
1789062836.310065783,10.0,0
1789062836.373420662,9.9,0
1789062836.437037614,9.7,0
1789062836.500363359,11.6,0
1789062836.565931656,12.3,0
1789062836.632845239,10.1,0
1789062836.697302460,11.1,0
1789062836.762958238,10.7,0
1789062836.827314037,10.0,0
1789062836.891149326,11.1,0
1789062836.956260798,12.3,0
1789062837.022234973,9.8,0
1789062837.085336141,11.3,0
1789062837.149613423,11.2,0
1789062837.214270143,11.2,0
1789062837.279627704,9.9,0
1789062837.342696664,10.7,0
1789062837.406758723,11.5,0
1789062837.471972759,11.6,0
1789062837.536795478,10.8,0
1789062837.601121402,8.9,0
1789062837.663436473,9.4,0
1789062837.726251192,11.3,0
1789062837.791339760,9.2,0
1789062837.853765476,11.5,0
1789062837.918315917,9.9,0
1789062837.981565869,10.2,0
1789062838.045791383,11.5,0
1789062838.110848954,10.2,0
1789062838.174658645,10.5,0
1789062838.238773793,10.9,0
1789062838.303018236,11.1,0
1789062838.367594165,10.2,0
1789062838.431253169,10.4,0
1789062838.494885404,10.9,0
1789062838.559547503,11.6,0
1789062838.624666576,11.0,0
1789062838.688839180,10.1,0
1789062838.752497153,45.6,0
1789062838.852041745,11.9,0
1789062838.917541439,10.8,0
1789062838.981795115,9.0,0
1789062839.044114722,9.8,0
1789062839.107196252,10.6,0
1789062839.171426963,10.0,0
1789062839.235226649,9.9,0
1789062839.299065173,10.9,0
1789062839.363290727,9.8,0
1789062839.426511024,10.4,0
1789062839.490713875,10.2,0
1789062839.554124787,10.2,0
