epoch_s,prefix,latency_ms,exit
1789001819.762752776,20.0.0.0/24,8.5,0
1789001819.773774082,3001::/48,7.8,0
1789001820.034828982,20.0.0.0/24,7.5,0
1789001820.044931592,3001::/48,7.6,0
1789001820.305605381,20.0.0.0/24,9.8,0
1789001820.317827968,3001::/48,21.6,0
1789001820.592898161,20.0.0.0/24,11.7,0
1789001820.607278512,3001::/48,11.5,0
1789001820.872518754,20.0.0.0/24,9.6,0
1789001820.884536354,3001::/48,9.0,0
1789001821.146891532,20.0.0.0/24,8.9,0
1789001821.158454521,3001::/48,9.0,0
1789001821.420906715,20.0.0.0/24,9.4,0
1789001821.432660870,3001::/48,8.9,0
1789001821.695093815,20.0.0.0/24,9.0,0
1789001821.706622322,3001::/48,8.9,0
1789001821.968786184,20.0.0.0/24,9.4,0
1789001821.980843212,3001::/48,9.7,0
1789001822.244087193,20.0.0.0/24,9.7,0
1789001822.256079284,3001::/48,8.9,0
1789001822.518260813,20.0.0.0/24,9.1,0
1789001822.529802820,3001::/48,9.6,0
1789001822.792898919,20.0.0.0/24,9.6,0
1789001822.804945252,3001::/48,8.9,0
1789001823.067341562,20.0.0.0/24,9.0,0
1789001823.078827826,3001::/48,10.2,0
1789001823.342547239,20.0.0.0/24,9.0,0
1789001823.354046401,3001::/48,9.3,0
1789001823.616875921,20.0.0.0/24,9.5,0
1789001823.628779410,3001::/48,9.6,0
1789001823.891677171,20.0.0.0/24,9.5,0
1789001823.904000289,3001::/48,9.1,0
1789001824.166530370,20.0.0.0/24,9.2,0
1789001824.178309692,3001::/48,9.7,0
1789001824.441407844,20.0.0.0/24,9.1,0
1789001824.453142821,3001::/48,9.8,0
1789001824.716291218,20.0.0.0/24,9.1,0
1789001824.727944602,3001::/48,9.2,0
1789001824.990401593,20.0.0.0/24,9.6,0
1789001825.002487465,3001::/48,9.0,0
1789001825.265051687,20.0.0.0/24,9.1,0
1789001825.276494866,3001::/48,9.0,0
1789001825.538838707,20.0.0.0/24,9.0,0
1789001825.550328246,3001::/48,10.2,0
1789001825.813885184,20.0.0.0/24,9.4,0
1789001825.825744526,3001::/48,10.1,0
1789001826.089498951,20.0.0.0/24,9.1,0
1789001826.101103412,3001::/48,8.8,0
1789001826.363385210,20.0.0.0/24,9.7,0
1789001826.375571813,3001::/48,8.8,0
1789001826.637967192,20.0.0.0/24,9.6,0
1789001826.650313104,3001::/48,9.4,0
1789001826.913380821,20.0.0.0/24,9.2,0
1789001826.925142837,3001::/48,8.9,0
1789001827.187244446,20.0.0.0/24,8.9,0
1789001827.198494926,3001::/48,9.1,0
1789001827.460877846,20.0.0.0/24,9.2,0
1789001827.472647244,3001::/48,9.9,0
1789001827.735952456,20.0.0.0/24,9.3,0
1789001827.747989115,3001::/48,8.8,0
1789001828.009984464,20.0.0.0/24,9.2,0
1789001828.021936596,3001::/48,8.8,0
1789001828.284131324,20.0.0.0/24,9.4,0
1789001828.296096365,3001::/48,8.7,0
1789001828.558302100,20.0.0.0/24,8.8,0
1789001828.569804898,3001::/48,9.2,0
1789001828.832252545,20.0.0.0/24,8.6,0
1789001828.843588894,3001::/48,9.5,0
1789001829.106621828,20.0.0.0/24,9.9,0
1789001829.119162912,3001::/48,9.5,0
1789001829.381954796,20.0.0.0/24,9.4,0
1789001829.393786016,3001::/48,8.9,0
1789001829.656000774,20.0.0.0/24,9.2,0
1789001829.667669331,3001::/48,9.0,0
1789001829.930004900,20.0.0.0/24,9.6,0
1789001829.942060827,3001::/48,8.9,0
1789001830.204506412,20.0.0.0/24,9.6,0
1789001830.216541377,3001::/48,9.6,0
1789001830.479488473,20.0.0.0/24,9.0,0
1789001830.490834496,3001::/48,9.1,0
1789001830.753255163,20.0.0.0/24,9.5,0
1789001830.765189809,3001::/48,9.1,0
1789001831.027875533,20.0.0.0/24,9.4,0
1789001831.040266282,3001::/48,10.2,0
1789001831.303858635,20.0.0.0/24,9.7,0
1789001831.316004727,3001::/48,10.4,0
1789001831.579755156,20.0.0.0/24,39.7,0
1789001831.621872554,3001::/48,9.8,0
1789001831.885151777,20.0.0.0/24,9.8,0
1789001831.897701184,3001::/48,9.9,0
1789001832.161281228,20.0.0.0/24,10.0,0
1789001832.173695553,3001::/48,9.2,0
1789001832.436153576,20.0.0.0/24,9.4,0
1789001832.447799568,3001::/48,9.1,0
1789001832.710215838,20.0.0.0/24,9.4,0
1789001832.722072637,3001::/48,9.2,0
1789001832.984583679,20.0.0.0/24,10.0,0
1789001832.997204003,3001::/48,10.4,0
1789001833.261171317,20.0.0.0/24,9.6,0
1789001833.273188957,3001::/48,8.6,0
1789001833.535338768,20.0.0.0/24,10.4,0
1789001833.548244929,3001::/48,9.4,0
1789001833.811108500,20.0.0.0/24,9.3,0
1789001833.822698599,3001::/48,9.1,0
1789001834.085195831,20.0.0.0/24,9.3,0
1789001834.097219730,3001::/48,9.3,0
1789001834.360318162,20.0.0.0/24,9.5,0
1789001834.372240189,3001::/48,9.2,0
1789001834.634801116,20.0.0.0/24,10.5,0
1789001834.647874748,3001::/48,9.7,0
1789001834.911446200,20.0.0.0/24,9.2,0
1789001834.923058682,3001::/48,9.8,0
1789001835.186325828,20.0.0.0/24,9.5,0
1789001835.198856236,3001::/48,9.5,0
1789001835.461806967,20.0.0.0/24,9.8,0
1789001835.474440910,3001::/48,10.5,0
1789001835.738445801,20.0.0.0/24,9.3,0
1789001835.750062861,3001::/48,8.8,0
1789001836.012325220,20.0.0.0/24,9.1,0
1789001836.024027458,3001::/48,9.4,0
1789001836.286707473,20.0.0.0/24,8.8,0
1789001836.297929380,3001::/48,8.9,0
1789001836.560180684,20.0.0.0/24,9.5,0
1789001836.572257292,3001::/48,9.2,0
1789001836.834802625,20.0.0.0/24,8.9,0
1789001836.846319475,3001::/48,9.1,0
1789001837.108818549,20.0.0.0/24,9.7,0
1789001837.121131632,3001::/48,9.0,0
1789001837.383819739,20.0.0.0/24,9.3,0
1789001837.395587505,3001::/48,9.8,0
1789001837.658743834,20.0.0.0/24,9.6,0
1789001837.671013491,3001::/48,9.8,0
1789001837.934453906,20.0.0.0/24,10.1,0
1789001837.947265566,3001::/48,9.1,0
1789001838.209661195,20.0.0.0/24,9.0,0
1789001838.221361840,3001::/48,9.5,0
1789001838.484277619,20.0.0.0/24,9.7,0
1789001838.496572014,3001::/48,10.2,0
1789001838.760034702,20.0.0.0/24,9.5,0
1789001838.772021986,3001::/48,9.4,0
