phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1849506.59	2026-07-25T22:36:42Z	0.43	64/64	none	108956700	1048576	0	0	1
postbuild	1849508.98	2026-07-25T22:36:44Z	0.40	64/64	none	108946028	1048576	0	0	1
