variant,commit,harness_sha256,scope,routes,page_size,repetition,pair_order,run_position,pages,rows,ordered_key_checksum,complete_ns,page_p50_ns,page_p99_ns,page_max_ns,rows_per_second
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,100000,1000,4,optimized-first,first,100,100000,e7e602f74708727d,107417082,1114978,1623189,2040654,930950.629
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,100000,1000,4,optimized-first,second,100,100000,e7e602f74708727d,107171054,1134538,1550350,2083748,933087.772
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,100000,1000,1,optimized-first,first,94,93750,242350a28e9ceb63,97767611,1074879,1303261,1303261,958906.524
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,100000,1000,1,optimized-first,second,94,93750,242350a28e9ceb63,223856959,2400683,3262052,3262052,418794.218
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,100000,1000,2,baseline-first,first,94,93750,242350a28e9ceb63,227207333,2432381,3255302,3255302,412618.725
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,100000,1000,2,baseline-first,second,94,93750,242350a28e9ceb63,97354864,1061909,1219895,1219895,962971.917
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,100000,1000,3,optimized-first,first,94,93750,242350a28e9ceb63,97935442,1092085,1228629,1228629,957263.255
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,100000,1000,3,optimized-first,second,94,93750,242350a28e9ceb63,215870457,2323407,2887711,2887711,434288.236
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,100000,1000,4,baseline-first,first,94,93750,242350a28e9ceb63,224677327,2422956,3249664,3249664,417265.067
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,100000,1000,4,baseline-first,second,94,93750,242350a28e9ceb63,97030308,1064733,1216350,1216350,966192.955
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,400000,100,1,baseline-first,first,4000,400000,3c97049795114185,10931778608,2874222,3276985,3910903,36590.569
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,400000,100,1,baseline-first,second,4000,400000,3c97049795114185,10991615424,2887653,3182172,3574880,36391.375
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,400000,100,2,optimized-first,first,4000,400000,3c97049795114185,10984862439,2883506,3223244,3566597,36413.747
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,400000,100,2,optimized-first,second,4000,400000,3c97049795114185,10948454272,2874171,3285487,3457094,36534.838
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,400000,100,3,baseline-first,first,4000,400000,3c97049795114185,10895009965,2876235,3203644,3541851,36714.055
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,400000,100,3,baseline-first,second,4000,400000,3c97049795114185,11026461591,2890216,3261451,3975029,36276.370
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,400000,100,4,optimized-first,first,4000,400000,3c97049795114185,10989029147,2884507,3156735,3496573,36399.940
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,400000,100,4,optimized-first,second,4000,400000,3c97049795114185,10896345763,2863115,3367500,4859924,36709.555
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,400000,100,1,optimized-first,first,3750,375000,b1ffaae113b30515,10510531112,2833691,3541770,4553364,35678.501
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,400000,100,1,optimized-first,second,3750,375000,b1ffaae113b30515,99032102912,26269916,29665349,33715360,3786.651
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,400000,100,2,baseline-first,first,3750,375000,b1ffaae113b30515,98128691423,26160374,29086563,35061856,3821.512
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,400000,100,2,baseline-first,second,3750,375000,b1ffaae113b30515,10542007664,2846941,3496002,3844123,35571.972
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,400000,100,3,optimized-first,first,3750,375000,b1ffaae113b30515,10575798134,2868463,3513198,3752907,35458.317
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,400000,100,3,optimized-first,second,3750,375000,b1ffaae113b30515,98257299842,26153124,29247211,30784615,3816.510
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,400000,100,4,baseline-first,first,3750,375000,b1ffaae113b30515,99265868866,26400991,29573459,30905036,3777.734
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,grouped_advertised,400000,100,4,baseline-first,second,3750,375000,b1ffaae113b30515,10586504501,2871750,3523548,4105461,35422.457
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,400000,1000,1,baseline-first,first,400,400000,3c97049795114185,1330421896,3515385,3777699,4143609,300656.507
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,400000,1000,1,baseline-first,second,400,400000,3c97049795114185,1356004740,3551720,4150298,4283229,294984.220
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,400000,1000,2,optimized-first,first,400,400000,3c97049795114185,1364778824,3601565,3896748,3984610,293087.783
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,400000,1000,2,optimized-first,second,400,400000,3c97049795114185,1331448253,3498450,3754544,3767214,300424.744
baseline,50399dac696507a827480be4a9dcfef49e1682b3,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,400000,1000,3,baseline-first,first,400,400000,3c97049795114185,1329603864,3513232,3792652,3894295,300841.484
optimized,d12cbaae37a9779ccc58617189253450b57c8fa4,fef40d5c228cabf7566463246f47919aeac0b543a330068ec2af866366f29573,best,400000,1000,3,baseline-first,second,400,400000,3c97049795114185,1333152930,3521285,3801516,3830138,300040.596
