name, target, version, peers, prefixes per peer, required, received, monitor (s), elapsed (s), prefix received (s), testers (s), total time, max cpu %, max mem (GB), min idle%, min free mem (GB), flags, date,cores,Mem (GB), tester errors, failed, MSG, filters
rustbgpd,rustbgpd,rustbgpd 0.61.0,2,100000,198000,200000,0,3,1,2,12.37,41,0.212,92,100.593,,2026-07-27,64,125.29GB,0,0,,,
bird,bird,2.18+branch.master.0ee9f93bd076,2,100000,198000,200000,1,3,1,2,13.2,6,0.028,93,100.793,,2026-07-27,64,125.29GB,200000,0,,,
gobgp,gobgp,4.3.0,2,100000,198000,200000,1,6,1,5,16.43,580,0.193,84,100.489,,2026-07-27,64,125.29GB,0,0,,,
frr_c,frr_c,FRRouting 10.7.0-dev-my-manual-build (2b716f9869bc) on Linux(6.17.0-35-generic).,2,100000,198000,200000,0,4,2,2,13.29,95,0.223,95,100.584,,2026-07-27,64,125.29GB,0,0,,,
