name, target, version, peers, prefixes per peer, required, received, monitor (s), elapsed (s), prefix received (s), testers (s), total time, max cpu %, max mem (GB), min idle%, min free mem (GB), flags, date,cores,Mem (GB), tester errors, failed, MSG, filters
rustbgpd,rustbgpd,rustbgpd 0.61.0,10,1000,9900,10000,0,2,1,1,8.4,6,0.038,99,101.191,,2026-07-27,64,125.29GB,3,0,,,
bird,bird,2.18+branch.master.0ee9f93bd076,10,1000,9900,10000,1,2,1,1,9.23,3,0.009,99,101.171,,2026-07-27,64,125.29GB,90000,0,,,
gobgp,gobgp,4.3.0,10,1000,9900,10000,1,3,1,2,10.26,140,0.052,97,101.155,,2026-07-27,64,125.29GB,0,0,,,
frr_c,frr_c,FRRouting 10.7.0-dev-my-manual-build (b835925fe917) on Linux(6.17.0-35-generic).,10,1000,9900,10000,1,3,1,2,10.32,3,0.049,99,101.158,,2026-07-27,64,125.29GB,0,0,,,
