phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1848720.86	2026-07-25T22:23:36Z	1.73	64/64	none	108928296	1048576	0	0	1
postbuild	1848723.24	2026-07-25T22:23:38Z	1.59	64/64	none	108921660	1048576	0	0	1
