repeat,cell,reload,peers_total,peers_changed,peers_stable,prefixes,completion_p50_s,completion_p95_s,completion_max_s,changed_maxgap_p50_ms,changed_maxgap_p95_ms,changed_maxgap_max_ms,all_observer_maxgap_p50_ms,all_observer_maxgap_p95_ms,all_observer_maxgap_max_ms,changed_first_generation_update_p50_ms,changed_first_generation_update_p95_ms,changed_first_generation_update_max_ms,rss_before_mib,rss_after_mib,stable_marker_peers,sessions_up,parse_errors
A,rustbgpd-sighup-grouped-control,1,320,320,0,183040,1.878587,1.951136,1.965208,166.860,257.099,292.574,166.860,257.099,292.574,1733.027,1823.267,1858.981,733,1244,0,320,0
A,rustbgpd-sighup-grouped-control,2,320,320,0,183040,4.489543,4.577133,4.587453,2794.925,3000.468,3018.543,2794.925,3000.468,3018.543,4351.919,4559.501,4575.387,1151,1619,0,320,0
A,rustbgpd-sighup-grouped-control,3,320,320,0,183040,4.326964,4.423734,4.433140,2676.407,2820.645,2912.051,2676.407,2820.645,2912.051,4181.296,4325.048,4416.773,1401,1919,0,320,0
A,rustbgpd-sighup-grouped-control,4,320,320,0,183040,4.340237,4.426937,4.444899,2683.316,2876.310,2912.164,2683.316,2876.310,2912.164,4193.624,4386.942,4422.385,1403,1891,0,320,0
B,rustbgpd-sighup-grouped-control,1,320,320,0,183040,1.870031,1.919790,1.928008,159.779,170.203,183.522,159.779,170.203,183.522,1767.943,1777.887,1792.192,734,1254,0,320,0
B,rustbgpd-sighup-grouped-control,2,320,320,0,183040,4.346171,4.396631,4.401278,2598.005,2695.760,2747.063,2598.005,2695.760,2747.063,4222.917,4321.146,4372.423,1151,1658,0,320,0
B,rustbgpd-sighup-grouped-control,3,320,320,0,183040,4.327590,4.386543,4.399042,2604.658,2750.204,2767.756,2604.658,2750.204,2767.756,4211.611,4357.448,4374.740,1401,1896,0,320,0
B,rustbgpd-sighup-grouped-control,4,320,320,0,183040,4.262573,4.340690,4.346758,2581.248,2706.524,2748.694,2581.248,2706.524,2748.694,4169.501,4294.520,4336.601,1406,1892,0,320,0
