repeat,cell,reload,peers_total,peers_changed,peers_stable,prefixes,completion_p50_s,completion_p95_s,completion_max_s,changed_maxgap_p50_ms,changed_maxgap_p95_ms,changed_maxgap_max_ms,all_observer_maxgap_p50_ms,all_observer_maxgap_p95_ms,all_observer_maxgap_max_ms,changed_first_generation_update_p50_ms,changed_first_generation_update_p95_ms,changed_first_generation_update_max_ms,rss_before_mib,rss_after_mib,stable_marker_peers,sessions_up,parse_errors
A,rustbgpd-sighup,1,320,320,0,183040,2.187329,2.278285,2.475757,480.857,506.680,556.856,480.857,506.680,556.856,1954.613,1979.910,2030.335,743,1266,0,320,0
A,rustbgpd-sighup,2,320,320,0,183040,3.302497,3.434443,3.531661,1716.319,1916.023,2009.281,1716.319,1916.023,2009.281,3098.707,3297.680,3391.663,1172,1684,0,320,0
A,rustbgpd-sighup,3,320,320,0,183040,3.375395,3.494144,3.505947,1752.201,1907.474,2075.508,1752.201,1907.474,2075.508,3157.357,3312.419,3481.276,1445,1916,0,320,0
A,rustbgpd-sighup,4,320,320,0,183040,3.363181,3.498515,3.508122,1734.317,1971.803,2047.877,1734.317,1971.803,2047.877,3181.058,3418.963,3494.251,1430,1956,0,320,0
A,bird,1,320,320,0,183040,12.214370,12.985589,13.093338,763.804,1227.106,1679.844,813.457,1305.276,1679.844,1661.715,2099.370,2795.464,0,0,0,320,0
A,bird,2,320,320,0,183040,11.611347,12.511204,12.575957,775.468,1570.264,2069.267,823.657,1570.264,2069.267,1450.271,1830.644,2507.971,0,0,0,320,0
A,bird,3,320,320,0,183040,12.466167,13.405415,13.468131,774.507,1522.213,2039.580,855.877,1542.775,2039.580,1458.354,1823.765,2566.665,0,0,0,320,0
A,bird,4,320,320,0,183040,11.566233,13.066466,13.187369,788.084,949.929,1907.058,1085.325,1284.253,1907.058,1450.903,1817.826,2517.737,0,0,0,320,0
A,openbgpd,1,320,320,0,183040,60.054303,60.059545,60.063970,359.627,360.171,369.553,359.627,360.171,369.553,7204.905,7205.687,7300.068,0,0,0,320,0
A,openbgpd,2,320,320,0,183040,55.208012,55.211318,55.213802,419.579,419.934,419.969,419.579,419.934,419.969,7123.905,7124.588,7275.239,0,0,0,320,0
A,openbgpd,3,320,320,0,183040,58.516617,58.521965,58.528612,416.641,416.936,422.908,416.641,416.936,422.908,7168.794,7169.563,7420.848,0,0,0,320,0
A,openbgpd,4,320,320,0,183040,55.080181,55.083833,55.085806,414.753,415.202,415.239,414.753,415.202,415.239,7176.496,7177.299,7312.191,0,0,0,320,0
B,rustbgpd-sighup,1,320,320,0,183040,2.066511,2.128860,2.193523,508.595,575.136,591.217,508.595,575.136,591.217,1902.590,1969.349,1984.852,745,1260,0,320,0
B,rustbgpd-sighup,2,320,320,0,183040,3.251120,3.344268,3.355532,1776.843,1939.536,1991.168,1776.843,1939.536,1991.168,3090.517,3252.965,3304.434,1173,1662,0,320,0
B,rustbgpd-sighup,3,320,320,0,183040,3.370013,3.462912,3.471104,1848.633,2069.362,2095.147,1848.633,2069.362,2095.147,3206.569,3427.528,3453.548,1448,1955,0,320,0
B,rustbgpd-sighup,4,320,320,0,183040,3.344110,3.404372,3.412243,1792.259,1917.098,1961.577,1792.259,1917.098,1961.577,3197.844,3322.697,3367.138,1454,1948,0,320,0
B,bird,1,320,320,0,183040,12.529672,13.543999,13.601397,741.299,1230.212,1757.330,744.146,1230.212,1757.330,1684.149,2058.592,2699.565,0,0,0,320,0
B,bird,2,320,320,0,183040,11.756782,13.263728,13.343272,792.920,1465.652,1952.763,1220.887,1465.652,1952.763,1438.147,1863.939,2457.569,0,0,0,320,0
B,bird,3,320,320,0,183040,11.553728,12.666365,12.798765,816.364,1553.518,1967.695,920.633,1598.631,1967.695,1465.516,1896.309,2594.883,0,0,0,320,0
B,bird,4,320,320,0,183040,11.080208,12.830665,12.923803,792.049,1540.534,2150.439,814.529,1540.534,2150.439,1466.013,1893.523,2704.126,0,0,0,320,0
B,openbgpd,1,320,320,0,183040,62.681401,62.686735,62.694608,350.642,351.070,370.768,350.642,351.070,370.768,7050.553,7051.258,7276.698,0,0,0,320,0
B,openbgpd,2,320,320,0,183040,56.693014,56.695630,56.697498,416.760,417.184,417.220,416.760,417.184,417.220,7269.653,7270.406,7435.199,0,0,0,320,0
B,openbgpd,3,320,320,0,183040,60.139563,60.140418,60.143665,415.148,415.694,422.678,415.148,415.694,422.678,7384.741,7385.443,7635.574,0,0,0,320,0
B,openbgpd,4,320,320,0,183040,56.318246,56.319787,56.321448,421.474,422.386,422.471,421.474,422.386,422.471,7345.318,7346.079,7443.282,0,0,0,320,0
