repeat,cell,reload,peers_total,peers_changed,peers_stable,prefixes,completion_p50_s,completion_p95_s,completion_max_s,changed_maxgap_p50_ms,changed_maxgap_p95_ms,changed_maxgap_max_ms,all_observer_maxgap_p50_ms,all_observer_maxgap_p95_ms,all_observer_maxgap_max_ms,changed_first_generation_update_p50_ms,changed_first_generation_update_p95_ms,changed_first_generation_update_max_ms,rss_before_mib,rss_after_mib,stable_marker_peers,sessions_up,parse_errors
A,rustbgpd-sighup-grouped-control,1,320,320,0,183040,1.929898,1.985337,2.005507,157.853,173.710,222.055,157.853,173.710,222.055,1812.674,1828.839,1876.615,761,1279,0,320,0
A,rustbgpd-sighup-grouped-control,2,320,320,0,183040,4.410741,4.475606,4.482766,2642.400,2711.733,2783.729,2642.400,2711.733,2783.729,4292.371,4362.236,4433.583,1188,1690,0,320,0
A,rustbgpd-sighup-grouped-control,3,320,320,0,183040,4.551255,4.607687,4.612371,2803.536,2905.217,2937.728,2803.536,2905.217,2937.728,4437.543,4538.929,4571.696,1467,1973,0,320,0
A,rustbgpd-sighup-grouped-control,4,320,320,0,183040,4.359268,4.416223,4.424642,2667.771,2702.016,2777.016,2667.771,2702.016,2777.016,4242.182,4275.932,4350.833,1474,1989,0,320,0
B,rustbgpd-sighup-grouped-control,1,320,320,0,183040,1.929549,1.981751,1.985585,154.537,188.758,262.358,154.537,188.758,262.358,1807.944,1841.910,1915.400,761,1264,0,320,0
B,rustbgpd-sighup-grouped-control,2,320,320,0,183040,4.410097,4.480303,4.487464,2640.348,2687.290,2717.156,2640.348,2687.290,2717.156,4313.645,4360.357,4390.904,1161,1680,0,320,0
B,rustbgpd-sighup-grouped-control,3,320,320,0,183040,4.381356,4.452174,4.460301,2635.419,2763.042,2802.869,2635.419,2763.042,2802.869,4274.075,4401.054,4440.904,1441,1947,0,320,0
B,rustbgpd-sighup-grouped-control,4,320,320,0,183040,4.374713,4.427477,4.433199,2696.771,2767.811,2825.948,2696.771,2767.811,2825.948,4257.085,4327.839,4386.341,1444,1952,0,320,0
