phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1850228.03	2026-07-25T22:48:43Z	1.03	64/64	none	108927252	1048576	0	0	1
postbuild	1850428.49	2026-07-25T22:52:04Z	1.10	64/64	none	108655276	1048576	0	0	1
