component	live_at_t_gmax_bytes	stack_leaf_to_root
other	17302016	<alloc::alloc::Global as core::alloc::Allocator>::allocate;hashbrown::alloc::inner::do_alloc::<alloc::alloc::Global>;<hashbrown::raw::RawTableInner>::new_uninitialized::<alloc::alloc::Global>;<hashbrown::raw::RawTableInner>::fallible_with_capacity::<alloc::alloc::Global>;<hashbrown::raw::RawTableInner>::prepare_resize::<alloc::alloc::Global>;<hashbrown::raw::RawTableInner>::resize_inner::<alloc::alloc::Global>;<hashbrown::raw::RawTableInner>::reserve_rehash_inner::<alloc::alloc::Global>;<hashbrown::raw::RawTable<(u32, alloc::vec::Vec<(u8, u8)>)>>::reserve_rehash::<hashbrown::map::make_hasher<u32, alloc::vec::Vec<(u8, u8)>, rustc_hash::FxBuildHasher>::{closure#0}>;<hashbrown::raw::RawTable<(u32, alloc::vec::Vec<(u8, u8)>)>>::reserve::<hashbrown::map::make_hasher<u32, alloc::vec::Vec<(u8, u8)>, rustc_hash::FxBuildHasher>::{closure#0}>;<hashbrown::map::HashMap<u32, alloc::vec::Vec<(u8, u8)>, rustc_hash::FxBuildHasher>>::reserve;<hashbrown::map::HashMap<u32, alloc::vec::Vec<(u8, u8)>, rustc_hash::FxBuildHasher>>::rustc_entry;<std::collections::hash::map::HashMap<u32, alloc::vec::Vec<(u8, u8)>, rustc_hash::FxBuildHasher>>::entry;rustbgpd_policy::sets::push_group::<u32>;<rustbgpd_policy::sets::PrefixSet>::new::<core::iter::adapters::copied::Copied<core::slice::iter::Iter<rustbgpd_policy::sets::PrefixSetEntry>>>;<rustbgpd_policy::sets::SetStore>::prefix_set::{closure#0};<std::collections::hash::map::Entry<alloc::vec::Vec<(u8, u128, u8, core::option::Option<u8>, core::option::Option<u8>)>, alloc::sync::Arc<rustbgpd_policy::sets::PrefixSet>>>::or_insert_with::<<rustbgpd_policy::sets::SetStore>::prefix_set::{closure#0}>;<rustbgpd_policy::sets::SetStore>::prefix_set;<rustbgpd_policy::rpol::lower::Lowerer>::new;<rustbgpd_policy::rpol::RpolFile>::compile_policy_bound;rustbgpd::config::parse::resolve_rpol_chain_ref;rustbgpd::config::parse::resolve_chain_with_store::{closure#0};core::iter::adapters::map::map_try_fold::<&alloc::string::String, core::result::Result<rustbgpd_policy::engine::NamedPolicy, rustbgpd::config::schema::ConfigError>, (), core::ops::control_flow::ControlFlow<core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}, <core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>> as core::iter::traits::iterator::Iterator>::try_fold<(), core::iter::traits::iterator::Iterator::try_for_each::call<rustbgpd_policy::engine::NamedPolicy, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>::Break>::{closure#0}, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>>::{closure#0}>::{closure#0};<core::slice::iter::Iter<alloc::string::String> as core::iter::traits::iterator::Iterator>::try_fold::<(), core::iter::adapters::map::map_try_fold<&alloc::string::String, core::result::Result<rustbgpd_policy::engine::NamedPolicy, rustbgpd::config::schema::ConfigError>, (), core::ops::control_flow::ControlFlow<core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}, <core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>> as core::iter::traits::iterator::Iterator>::try_fold<(), core::iter::traits::iterator::Iterator::try_for_each::call<rustbgpd_policy::engine::NamedPolicy, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>::Break>::{closure#0}, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>>::{closure#0}>::{closure#0}, core::ops::control_flow::ControlFlow<core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>>>;<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}> as core::iter::traits::iterator::Iterator>::try_fold::<(), <core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>> as core::iter::traits::iterator::Iterator>::try_fold<(), core::iter::traits::iterator::Iterator::try_for_each::call<rustbgpd_policy::engine::NamedPolicy, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>::Break>::{closure#0}, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>>::{closure#0}, core::ops::control_flow::ControlFlow<core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>>>;<core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>> as core::iter::traits::iterator::Iterator>::try_fold::<(), core::iter::traits::iterator::Iterator::try_for_each::call<rustbgpd_policy::engine::NamedPolicy, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>::Break>::{closure#0}, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>>;<core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>> as core::iter::traits::iterator::Iterator>::try_for_each::<core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>::Break, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>>;<core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>> as core::iter::traits::iterator::Iterator>::next;<alloc::vec::Vec<rustbgpd_policy::engine::NamedPolicy> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<rustbgpd_policy::engine::NamedPolicy, core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>>>>::from_iter;<alloc::vec::Vec<rustbgpd_policy::engine::NamedPolicy> as alloc::vec::spec_from_iter::SpecFromIter<rustbgpd_policy::engine::NamedPolicy, core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>>>>::from_iter;<alloc::vec::Vec<rustbgpd_policy::engine::NamedPolicy> as core::iter::traits::collect::FromIterator<rustbgpd_policy::engine::NamedPolicy>>::from_iter::<core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>>>;<core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>> as core::iter::traits::iterator::Iterator>::collect::<alloc::vec::Vec<rustbgpd_policy::engine::NamedPolicy>>;<core::result::Result<alloc::vec::Vec<rustbgpd_policy::engine::NamedPolicy>, rustbgpd::config::schema::ConfigError> as core::iter::traits::collect::FromIterator<core::result::Result<rustbgpd_policy::engine::NamedPolicy, rustbgpd::config::schema::ConfigError>>>::from_iter::<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>>::{closure#0};core::iter::adapters::try_process::<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, rustbgpd_policy::engine::NamedPolicy, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>, <core::result::Result<alloc::vec::Vec<rustbgpd_policy::engine::NamedPolicy>, rustbgpd::config::schema::ConfigError> as core::iter::traits::collect::FromIterator<core::result::Result<rustbgpd_policy::engine::NamedPolicy, rustbgpd::config::schema::ConfigError>>>::from_iter<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>>::{closure#0}, alloc::vec::Vec<rustbgpd_policy::engine::NamedPolicy>>;<core::result::Result<alloc::vec::Vec<rustbgpd_policy::engine::NamedPolicy>, rustbgpd::config::schema::ConfigError> as core::iter::traits::collect::FromIterator<core::result::Result<rustbgpd_policy::engine::NamedPolicy, rustbgpd::config::schema::ConfigError>>>::from_iter::<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>>;<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}> as core::iter::traits::iterator::Iterator>::collect::<core::result::Result<alloc::vec::Vec<rustbgpd_policy::engine::NamedPolicy>, rustbgpd::config::schema::ConfigError>>;rustbgpd::config::parse::resolve_chain_with_store;<rustbgpd::config::schema::Config>::effective_policy_for_neighbor_with_store;<rustbgpd::config::schema::Config>::resolve_neighbor_pinned_with_store;<rustbgpd::config::schema::Config>::resolved_neighbors;policy_set_store_dhat::shared_set_resolution_dhat;policy_set_store_dhat::shared_set_resolution_dhat::{closure#0};<policy_set_store_dhat::shared_set_resolution_dhat::{closure#0} as core::ops::function::FnOnce<()>>::call_once
other	7040000	<alloc::alloc::Global as core::alloc::Allocator>::allocate;<alloc::raw_vec::RawVecInner>::try_allocate_in;<alloc::raw_vec::RawVecInner>::with_capacity_in;<alloc::raw_vec::RawVec<rustbgpd_policy::sets::PrefixSetEntry>>::with_capacity_in;<alloc::vec::Vec<rustbgpd_policy::sets::PrefixSetEntry>>::with_capacity_in;<alloc::vec::Vec<rustbgpd_policy::sets::PrefixSetEntry>>::with_capacity;<alloc::vec::Vec<rustbgpd_policy::sets::PrefixSetEntry> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<rustbgpd_policy::sets::PrefixSetEntry, core::iter::adapters::copied::Copied<core::slice::iter::Iter<rustbgpd_policy::sets::PrefixSetEntry>>>>::from_iter;<alloc::vec::Vec<rustbgpd_policy::sets::PrefixSetEntry> as alloc::vec::spec_from_iter::SpecFromIter<rustbgpd_policy::sets::PrefixSetEntry, core::iter::adapters::copied::Copied<core::slice::iter::Iter<rustbgpd_policy::sets::PrefixSetEntry>>>>::from_iter;<alloc::vec::Vec<rustbgpd_policy::sets::PrefixSetEntry> as core::iter::traits::collect::FromIterator<rustbgpd_policy::sets::PrefixSetEntry>>::from_iter::<core::iter::adapters::copied::Copied<core::slice::iter::Iter<rustbgpd_policy::sets::PrefixSetEntry>>>;<core::iter::adapters::copied::Copied<core::slice::iter::Iter<rustbgpd_policy::sets::PrefixSetEntry>> as core::iter::traits::iterator::Iterator>::collect::<alloc::vec::Vec<rustbgpd_policy::sets::PrefixSetEntry>>;<rustbgpd_policy::sets::PrefixSet>::new::<core::iter::adapters::copied::Copied<core::slice::iter::Iter<rustbgpd_policy::sets::PrefixSetEntry>>>;<rustbgpd_policy::sets::SetStore>::prefix_set::{closure#0};<std::collections::hash::map::Entry<alloc::vec::Vec<(u8, u128, u8, core::option::Option<u8>, core::option::Option<u8>)>, alloc::sync::Arc<rustbgpd_policy::sets::PrefixSet>>>::or_insert_with::<<rustbgpd_policy::sets::SetStore>::prefix_set::{closure#0}>;<rustbgpd_policy::sets::SetStore>::prefix_set;<rustbgpd_policy::rpol::lower::Lowerer>::new;<rustbgpd_policy::rpol::RpolFile>::compile_policy_bound;rustbgpd::config::parse::resolve_rpol_chain_ref;rustbgpd::config::parse::resolve_chain_with_store::{closure#0};core::iter::adapters::map::map_try_fold::<&alloc::string::String, core::result::Result<rustbgpd_policy::engine::NamedPolicy, rustbgpd::config::schema::ConfigError>, (), core::ops::control_flow::ControlFlow<core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}, <core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>> as core::iter::traits::iterator::Iterator>::try_fold<(), core::iter::traits::iterator::Iterator::try_for_each::call<rustbgpd_policy::engine::NamedPolicy, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>::Break>::{closure#0}, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>>::{closure#0}>::{closure#0};<core::slice::iter::Iter<alloc::string::String> as core::iter::traits::iterator::Iterator>::try_fold::<(), core::iter::adapters::map::map_try_fold<&alloc::string::String, core::result::Result<rustbgpd_policy::engine::NamedPolicy, rustbgpd::config::schema::ConfigError>, (), core::ops::control_flow::ControlFlow<core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}, <core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>> as core::iter::traits::iterator::Iterator>::try_fold<(), core::iter::traits::iterator::Iterator::try_for_each::call<rustbgpd_policy::engine::NamedPolicy, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>::Break>::{closure#0}, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>>::{closure#0}>::{closure#0}, core::ops::control_flow::ControlFlow<core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>>>;<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}> as core::iter::traits::iterator::Iterator>::try_fold::<(), <core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>> as core::iter::traits::iterator::Iterator>::try_fold<(), core::iter::traits::iterator::Iterator::try_for_each::call<rustbgpd_policy::engine::NamedPolicy, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>::Break>::{closure#0}, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>>::{closure#0}, core::ops::control_flow::ControlFlow<core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>>>;<core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>> as core::iter::traits::iterator::Iterator>::try_fold::<(), core::iter::traits::iterator::Iterator::try_for_each::call<rustbgpd_policy::engine::NamedPolicy, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>::Break>::{closure#0}, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>>;<core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>> as core::iter::traits::iterator::Iterator>::try_for_each::<core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>::Break, core::ops::control_flow::ControlFlow<rustbgpd_policy::engine::NamedPolicy>>;<core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>> as core::iter::traits::iterator::Iterator>::next;<alloc::vec::Vec<rustbgpd_policy::engine::NamedPolicy> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<rustbgpd_policy::engine::NamedPolicy, core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>>>>::from_iter;<alloc::vec::Vec<rustbgpd_policy::engine::NamedPolicy> as alloc::vec::spec_from_iter::SpecFromIter<rustbgpd_policy::engine::NamedPolicy, core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>>>>::from_iter;<alloc::vec::Vec<rustbgpd_policy::engine::NamedPolicy> as core::iter::traits::collect::FromIterator<rustbgpd_policy::engine::NamedPolicy>>::from_iter::<core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>>>;<core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>> as core::iter::traits::iterator::Iterator>::collect::<alloc::vec::Vec<rustbgpd_policy::engine::NamedPolicy>>;<core::result::Result<alloc::vec::Vec<rustbgpd_policy::engine::NamedPolicy>, rustbgpd::config::schema::ConfigError> as core::iter::traits::collect::FromIterator<core::result::Result<rustbgpd_policy::engine::NamedPolicy, rustbgpd::config::schema::ConfigError>>>::from_iter::<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>>::{closure#0};core::iter::adapters::try_process::<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>, rustbgpd_policy::engine::NamedPolicy, core::result::Result<core::convert::Infallible, rustbgpd::config::schema::ConfigError>, <core::result::Result<alloc::vec::Vec<rustbgpd_policy::engine::NamedPolicy>, rustbgpd::config::schema::ConfigError> as core::iter::traits::collect::FromIterator<core::result::Result<rustbgpd_policy::engine::NamedPolicy, rustbgpd::config::schema::ConfigError>>>::from_iter<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>>::{closure#0}, alloc::vec::Vec<rustbgpd_policy::engine::NamedPolicy>>;<core::result::Result<alloc::vec::Vec<rustbgpd_policy::engine::NamedPolicy>, rustbgpd::config::schema::ConfigError> as core::iter::traits::collect::FromIterator<core::result::Result<rustbgpd_policy::engine::NamedPolicy, rustbgpd::config::schema::ConfigError>>>::from_iter::<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}>>;<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, rustbgpd::config::parse::resolve_chain_with_store::{closure#0}> as core::iter::traits::iterator::Iterator>::collect::<core::result::Result<alloc::vec::Vec<rustbgpd_policy::engine::NamedPolicy>, rustbgpd::config::schema::ConfigError>>;rustbgpd::config::parse::resolve_chain_with_store;<rustbgpd::config::schema::Config>::effective_policy_for_neighbor_with_store;<rustbgpd::config::schema::Config>::resolve_neighbor_pinned_with_store;<rustbgpd::config::schema::Config>::resolved_neighbors;policy_set_store_dhat::shared_set_resolution_dhat;policy_set_store_dhat::shared_set_resolution_dhat::{closure#0};<policy_set_store_dhat::shared_set_resolution_dhat::{closure#0} as core::ops::function::FnOnce<()>>::call_once
