repeat,cell,reload,peers_total,peers_changed,peers_stable,prefixes,completion_p50_s,completion_p95_s,completion_max_s,changed_maxgap_p50_ms,changed_maxgap_p95_ms,changed_maxgap_max_ms,all_observer_maxgap_p50_ms,all_observer_maxgap_p95_ms,all_observer_maxgap_max_ms,changed_first_generation_update_p50_ms,changed_first_generation_update_p95_ms,changed_first_generation_update_max_ms,rss_before_mib,rss_after_mib,stable_marker_peers,sessions_up,parse_errors
A,rustbgpd-txn,1,320,320,0,183040,142.408741,189.077660,196.760277,323.877,329.855,507.737,486.983,489.917,507.737,142406.522,189075.213,196757.319,19848,23807,0,320,0
A,rustbgpd-txn,2,320,320,0,183040,154.425347,202.313620,208.546374,386.100,386.439,394.588,386.110,386.445,394.588,154423.113,202311.307,208544.284,21336,22803,0,320,0
A,rustbgpd-txn,3,320,320,0,183040,142.781725,189.222848,194.301681,292.344,293.158,328.225,292.370,293.158,328.225,142779.478,189220.698,194299.610,21391,23098,0,320,0
A,rustbgpd-txn,4,320,320,0,183040,139.983098,186.071927,191.339355,288.902,289.928,299.196,289.094,289.952,299.196,139980.717,186069.505,191337.324,21488,23263,0,320,0
B,rustbgpd-txn,1,320,320,0,183040,142.142921,188.950246,194.081757,334.029,334.047,344.253,334.031,334.048,344.253,142140.824,188947.941,194079.536,19772,24347,0,320,0
B,rustbgpd-txn,2,320,320,0,183040,137.041184,183.313911,188.457498,308.990,310.345,317.925,308.990,310.345,317.925,137038.976,183311.832,188455.496,21948,22966,0,320,0
B,rustbgpd-txn,3,320,320,0,183040,138.267870,186.475258,191.913560,300.474,303.751,313.310,303.240,303.784,313.310,138265.579,186473.245,191911.450,21374,23877,0,320,0
B,rustbgpd-txn,4,320,320,0,183040,137.229333,183.227461,188.406148,286.025,290.811,302.595,288.163,291.201,302.595,137227.485,183225.181,188403.719,21546,23728,0,320,0
