phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1924648.10	2026-07-26T19:29:03Z	0.10	64/64	none	111162372	1048576	0	0	1
postbuild	1924897.01	2026-07-26T19:33:12Z	1.07	64/64	none	110781508	1048576	0	0	1
