phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1848330.76	2026-07-25T22:17:06Z	1.25	64/64	none	108615128	1048576	0	0	1
postbuild	1848333.14	2026-07-25T22:17:08Z	1.15	64/64	none	108650964	1048576	0	0	1
