phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1925089.30	2026-07-26T19:36:24Z	0.41	64/64	none	111162472	1048576	0	0	1
postbuild	1925091.68	2026-07-26T19:36:27Z	0.41	64/64	none	111167292	1048576	0	0	1
