phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1847674.59	2026-07-25T22:06:10Z	0.21	64/64	none	108949864	1048576	0	0	1
postbuild	1847677.02	2026-07-25T22:06:12Z	0.27	64/64	none	108950952	1048576	0	0	1
