phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1849639.69	2026-07-25T22:38:55Z	0.67	64/64	none	108960208	1048576	0	0	1
postbuild	1849642.06	2026-07-25T22:38:57Z	0.67	64/64	none	108956504	1048576	0	0	1
