phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1850880.70	2026-07-25T22:59:36Z	1.18	64/64	none	108891588	1048576	0	0	1
postbuild	1850883.19	2026-07-25T22:59:38Z	1.08	64/64	none	108854260	1048576	0	0	1
