phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1927012.40	2026-07-26T20:08:28Z	0.24	64/64	none	111138152	1048576	0	0	1
postbuild	1927317.67	2026-07-26T20:13:33Z	1.10	64/64	none	110755232	1048576	0	0	1
