members,variant,table_routes,withheld_routes,cold_convergence_seconds,apply_seconds,apply_allocated_delta_bytes,apply_rss_delta_kib,blocked_allocated_bytes,recovery_apply_seconds,recovery_seconds,recovered_allocated_bytes,recovered_vm_rss_kib,recovered_vm_hwm_kib,rss_samples,sampled_max_vm_rss_kib,sampled_max_vm_hwm_kib,checks_total,checks_failed
1,candidate,400000,64,0.707343,0.020658089,10003224,7408,342191904,0.000647352,0.290743573,332084448,315428,445268,12,433648,445268,70,0
1,control,400000,64,0.708068,8.362e-06,121416,-6092,332592088,9.314e-06,,332620456,335204,396620,10,369932,396620,69,0
10,candidate,400000,64,0.807327,0.208677172,99707176,94536,432607840,0.008498586,2.802760381,332888488,382936,582180,15,573828,582180,430,0
10,control,400000,64,0.808497,2.3385e-05,510056,-2108,332962776,3.0876e-05,,333076464,372760,409968,11,457932,475580,429,0
100,candidate,400000,64,1.111139,2.050572101,997068144,960264,1340105408,0.06778325,27.853558523,343465280,358336,1325096,44,1332996,1332996,4030,0
100,control,400000,64,1.1116,0.000152399,682592,-5028,343581304,8.7351e-05,,344170696,377152,409368,16,493220,496044,4029,0
