phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1848894.44	2026-07-25T22:26:30Z	1.67	64/64	none	108938488	1048576	0	0	1
postbuild	1848896.82	2026-07-25T22:26:32Z	1.67	64/64	none	108925984	1048576	0	0	1
