phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1926922.24	2026-07-26T20:06:57Z	0.93	64/64	none	111199824	1048576	0	0	1
postbuild	1926924.62	2026-07-26T20:07:00Z	0.86	64/64	none	111195020	1048576	0	0	1
