phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1933857.85	2026-07-26T22:02:33Z	1.33	64/64	none	110809692	1048576	0	0	1
postbuild	1933860.24	2026-07-26T22:02:35Z	1.22	64/64	none	110831804	1048576	0	0	1
