phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1850932.65	2026-07-25T23:00:28Z	0.80	64/64	none	108936076	1048576	0	0	1
postbuild	1850935.13	2026-07-25T23:00:30Z	0.80	64/64	none	108931368	1048576	0	0	1
