phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1925601.57	2026-07-26T19:44:57Z	1.04	64/64	none	110966824	1048576	0	0	1
postbuild	1925604.11	2026-07-26T19:44:59Z	0.96	64/64	none	111028840	1048576	0	0	1
