reload,load_timestamp_epoch_us,refresh_timestamp_epoch_us,hashed,parsed,exact_reused,source_rebound,changed,failed,eligible,refreshed,skipped_not_established,refresh_failures,sessions_up,parse_errors
1,1790425459414181,1790425460308590,640,36,604,0,36,0,36,36,0,0,320,0
2,1790425482783380,1790425483674020,640,36,604,0,36,0,36,36,0,0,320,0
3,1790425505335201,1790425506200875,640,36,604,0,36,0,36,36,0,0,320,0
4,1790425527854192,1790425528742385,640,36,604,0,36,0,36,36,0,0,320,0
