run,revision,routes,peers,sample_index,iterations,total_time_ns,time_per_iteration_ns
head-b,head,64,64,2,152.0,23804907.0,156611.2302631579
head-b,head,64,64,3,228.0,35300899.0,154828.50438596492
head-b,head,64,64,4,304.0,47137854.0,155058.7302631579
head-b,head,64,64,5,380.0,59056474.0,155411.77368421052
head-b,head,64,64,6,456.0,70010324.0,153531.41228070174
head-b,head,64,64,7,532.0,82846940.0,155727.33082706766
head-b,head,64,64,8,608.0,93629250.0,153995.4769736842
head-b,head,64,64,9,684.0,104742883.0,153132.86988304093
head-b,head,64,64,10,760.0,119373842.0,157070.84473684212
head-b,head,64,256,1,20.0,10023685.0,501184.25
head-b,head,64,256,2,40.0,20130667.0,503266.675
head-b,head,64,256,3,60.0,30351990.0,505866.5
head-b,head,64,256,4,80.0,40359447.0,504493.0875
head-b,head,64,256,5,100.0,51586051.0,515860.51
head-b,head,64,256,6,120.0,60887496.0,507395.8
head-b,head,64,256,7,140.0,73434881.0,524534.8642857143
head-b,head,64,256,8,160.0,80946123.0,505913.26875
head-b,head,64,256,9,180.0,91916678.0,510648.2111111111
head-b,head,64,256,10,200.0,101193607.0,505968.035
head-b,head,64,1000,1,5.0,10252497.0,2050499.4
head-b,head,64,1000,2,10.0,19870800.0,1987080.0
head-b,head,64,1000,3,15.0,29610835.0,1974055.6666666667
head-b,head,64,1000,4,20.0,43633041.0,2181652.05
head-b,head,64,1000,5,25.0,50681780.0,2027271.2
head-b,head,64,1000,6,30.0,60514027.0,2017134.2333333334
head-b,head,64,1000,7,35.0,76046614.0,2172760.4
head-b,head,64,1000,8,40.0,81027850.0,2025696.25
head-b,head,64,1000,9,45.0,89610866.0,1991352.5777777778
head-b,head,64,1000,10,50.0,101334382.0,2026687.64
parent-b,parent,64,8,1,375.0,22763034.0,60701.424
parent-b,parent,64,8,2,750.0,45407418.0,60543.224
parent-b,parent,64,8,3,1125.0,67408616.0,59918.76977777778
parent-b,parent,64,8,4,1500.0,85030838.0,56687.225333333336
parent-b,parent,64,8,5,1875.0,113157853.0,60350.854933333336
