phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1847291.36	2026-07-25T21:59:46Z	0.03	64/64	none	108981788	1048576	0	0	1
postbuild	1847560.45	2026-07-25T22:04:16Z	1.25	64/64	none	108499316	1048576	0	0	1
