cell,reload,peers_total,peers_changed,peers_stable,prefixes,completion_p50_s,completion_p95_s,completion_max_s,changed_maxgap_p50_ms,changed_maxgap_p95_ms,changed_maxgap_max_ms,all_observer_maxgap_p50_ms,all_observer_maxgap_p95_ms,all_observer_maxgap_max_ms,changed_first_generation_update_p50_ms,changed_first_generation_update_p95_ms,changed_first_generation_update_max_ms,rss_before_mib,rss_after_mib,stable_marker_peers,sessions_up,parse_errors
rustbgpd-sighup,1,320,320,0,183040,1.286929,1.362401,1.370623,500.894,532.798,642.075,500.894,532.798,642.075,1093.567,1125.487,1234.680,498,627,0,320,0
rustbgpd-sighup,2,320,320,0,183040,1.287234,1.378086,1.386827,510.972,661.659,744.875,510.972,661.659,744.875,1119.890,1271.081,1353.224,554,648,0,320,0
rustbgpd-sighup,3,320,320,0,183040,1.267338,1.354731,1.359598,539.084,683.396,755.649,539.084,683.396,755.649,1109.813,1253.612,1325.616,556,655,0,320,0
rustbgpd-sighup,4,320,320,0,183040,1.245593,1.327945,1.339264,558.692,759.720,777.669,558.692,759.720,777.669,1104.069,1304.708,1323.490,558,661,0,320,0
