1784250679.487487272,13.0,0
1784250679.553975587,7.9,0
1784250679.615111743,8.2,0
1784250679.676607909,9.0,0
1784250679.738802001,8.5,0
1784250679.800550935,7.6,0
1784250679.861580021,7.9,0
1784250679.922817920,7.9,0
1784250679.983910722,7.8,0
1784250680.045021260,7.6,0
1784250680.105950085,8.1,0
1784250680.167305731,41.4,0
1784250680.261905714,11.1,0
1784250680.326281914,15.6,0
1784250680.395487981,16.1,0
1784250680.465346516,15.1,0
1784250680.533937882,11.7,0
1784250680.598877417,15.6,0
1784250680.668459808,15.2,0
1784250680.736906196,12.4,0
1784250680.802591869,13.5,0
1784250680.869739221,10.3,0
1784250680.933316114,13.8,0
1784250681.000536997,11.7,0
1784250681.065618945,10.7,0
1784250681.129495908,13.3,0
1784250681.196345424,13.6,0
1784250681.263338135,14.7,0
1784250681.331614829,10.5,0
1784250681.395585292,10.4,0
1784250681.459110698,9.0,0
1784250681.521676546,16.5,0
1784250681.591265447,12.9,0
1784250681.657868414,14.6,0
1784250681.725664889,12.0,0
1784250681.791016070,21.8,0
1784250681.865915958,11.9,0
1784250681.931004345,16.2,0
1784250682.000278995,15.0,0
1784250682.068295760,14.5,0
1784250682.136231884,13.5,0
1784250682.203182522,13.2,0
1784250682.269906550,9.2,0
1784250682.332515293,10.5,0
1784250682.396457894,10.4,0
1784250682.460096178,10.6,0
1784250682.524004278,12.5,0
1784250682.589621498,12.7,0
1784250682.655488141,13.4,0
1784250682.722151638,15.3,0
1784250682.790824466,15.6,0
1784250682.859516583,34.7,0
1784250682.947582857,10.1,0
1784250683.011365508,9.7,0
1784250683.074504315,22.3,0
1784250683.149973626,12.9,0
1784250683.216028261,17.8,0
1784250683.287135436,12.1,0
1784250683.352238205,11.0,0
1784250683.416384261,15.2,0
1784250683.485133683,14.7,0
1784250683.553172180,15.1,0
1784250683.622157516,14.3,0
1784250683.689932779,14.1,0
1784250683.757391268,13.2,0
1784250683.823706153,14.8,0
1784250683.891857460,16.8,0
1784250683.961892078,9.7,0
1784250684.025372296,13.1,0
1784250684.092036324,10.0,0
1784250684.155246678,11.4,0
1784250684.219889828,14.9,0
1784250684.288049227,16.3,0
1784250684.357964536,12.5,0
1784250684.423979902,14.3,0
1784250684.491637168,12.1,0
1784250684.557136451,13.8,0
1784250684.624837683,14.1,0
1784250684.692552005,10.6,0
1784250684.756680083,7.9,0
1784250684.818136269,7.8,0
1784250684.879172405,8.2,0
1784250684.940948741,7.9,0
1784250685.002158537,8.2,0
1784250685.064200260,8.1,0
1784250685.125741693,7.4,0
1784250685.186346072,8.2,0
1784250685.247709649,7.8,0
1784250685.308732605,8.3,0
1784250685.370336212,7.7,0
1784250685.431436885,7.8,0
1784250685.492455645,11.0,0
1784250685.556858826,8.4,0
1784250685.619100628,9.7,0
1784250685.682167427,8.9,0
1784250685.744684411,9.4,0
1784250685.807540624,10.0,0
1784250685.870844398,10.1,0
1784250685.934341682,10.6,0
1784250685.998352584,8.8,0
1784250686.060595248,9.8,0
1784250686.123736498,8.7,0
1784250686.186045872,9.2,0
1784250686.248716176,11.0,0
1784250686.313232827,8.2,0
1784250686.374907009,9.1,0
1784250686.437569622,9.3,0
1784250686.500073667,10.7,0
1784250686.564135667,9.4,0
1784250686.626773613,9.6,0
1784250686.689915063,9.8,0
1784250686.753018487,8.6,0
1784250686.815497244,9.6,0
1784250686.878422260,9.5,0
1784250686.941174637,10.2,0
1784250687.004758961,9.2,0
1784250687.067203307,9.8,0
1784250687.130058508,9.8,0
1784250687.193231436,10.0,0
1784250687.256347077,10.4,0
1784250687.319908967,9.4,0
1784250687.382590869,9.7,0
1784250687.445646080,9.3,0
1784250687.508258878,11.0,0
1784250687.572354669,8.3,0
1784250687.634061890,10.8,0
1784250687.698011972,9.5,0
1784250687.760731179,10.2,0
1784250687.824069334,10.9,0
1784250687.888183352,8.3,0
1784250687.949694479,9.5,0
1784250688.012383912,10.6,0
1784250688.076210609,8.8,0
1784250688.138187885,9.7,0
1784250688.201108404,9.8,0
1784250688.264169124,10.3,0
1784250688.327790893,9.5,0
1784250688.390738423,9.5,0
1784250688.453425713,9.4,0
1784250688.515853804,10.9,0
1784250688.579995693,10.9,0
1784250688.644217933,8.7,0
1784250688.706130662,10.3,0
1784250688.769523078,8.7,0
1784250688.831664550,9.2,0
1784250688.894039972,9.5,0
1784250688.956788023,7.2,0
1784250689.017375517,7.4,0
1784250689.077918534,7.4,0
1784250689.138468652,7.1,0
1784250689.198903497,7.0,0
1784250689.259203319,8.8,0
1784250689.321351872,7.7,0
1784250689.382333326,7.4,0
1784250689.443052137,7.6,0
1784250689.503955593,7.6,0
1784250689.564867243,7.6,0
1784250689.625824731,7.4,0
1784250689.686412094,7.9,0
1784250689.747406548,7.7,0
1784250689.808397165,10.6,0
1784250689.872363341,9.4,0
1784250689.935180816,9.1,0
1784250689.997586684,9.2,0
1784250690.060054595,10.4,0
1784250690.123892078,9.2,0
1784250690.186687329,9.7,0
1784250690.250082419,8.9,0
1784250690.312431982,10.2,0
1784250690.376072020,9.9,0
1784250690.439451727,8.5,0
1784250690.501215603,11.3,0
1784250690.565895358,8.8,0
1784250690.628226263,8.8,0
1784250690.690597880,10.1,0
1784250690.754143465,10.1,0
1784250690.817818435,9.5,0
1784250690.880669920,9.1,0
1784250690.943229659,9.5,0
1784250691.006198971,8.8,0
1784250691.068408865,10.5,0
1784250691.132114270,9.1,0
1784250691.194740799,10.3,0
1784250691.258115979,8.8,0
1784250691.320643989,10.0,0
1784250691.383971949,9.5,0
1784250691.446898016,9.1,0
1784250691.509330744,11.3,0
1784250691.574169217,8.7,0
1784250691.636112221,9.5,0
1784250691.698992009,9.2,0
1784250691.761927250,9.4,0
1784250691.824559026,10.7,0
1784250691.888512523,10.7,0
1784250691.952701412,7.5,0
1784250692.013822495,10.6,0
1784250692.077794499,8.7,0
1784250692.139908320,9.2,0
1784250692.202540196,10.1,0
1784250692.265873343,9.7,0
1784250692.329081723,9.3,0
1784250692.391599940,10.1,0
1784250692.454907889,9.7,0
1784250692.517730681,9.6,0
1784250692.580703328,9.2,0
1784250692.643319251,9.7,0
1784250692.706559959,9.5,0
1784250692.769550383,10.6,0
1784250692.833532432,9.1,0
1784250692.895975526,9.5,0
1784250692.959004507,9.3,0
1784250693.021567931,9.4,0
1784250693.084185246,10.8,0
1784250693.148281967,8.5,0
1784250693.210078241,10.3,0
1784250693.273818107,8.9,0
1784250693.336278637,10.7,0
1784250693.400159825,8.8,0
1784250693.462144692,10.5,0
1784250693.525869286,9.8,0
1784250693.589007501,9.1,0
1784250693.651423533,9.9,0
1784250693.714650932,9.9,0
1784250693.777708747,10.0,0
1784250693.840989154,8.9,0
1784250693.903016716,9.9,0
1784250693.966221080,11.5,0
1784250694.030923688,7.8,0
1784250694.092024611,10.8,0
1784250694.156086750,8.4,0
1784250694.217667301,7.0,0
1784250694.277883518,7.4,0
1784250694.338852072,7.3,0
1784250694.399472876,7.2,0
1784250694.460163544,7.7,0
1784250694.521166660,8.6,0
1784250694.582957706,7.7,0
1784250694.643975905,11.2,0
1784250694.708429390,7.5,0
1784250694.769220058,7.5,0
1784250694.830042944,7.5,0
1784250694.890854263,6.9,0
1784250694.951076199,7.4,0
1784250695.011843491,7.8,0
1784250695.073062991,7.9,0
1784250695.134481900,7.7,0
1784250695.195402182,8.2,0
1784250695.256802363,7.2,0
1784250695.317490958,7.2,0
1784250695.378227394,7.3,0
1784250695.438831522,7.2,0
1784250695.499479416,6.9,0
1784250695.559699409,7.8,0
1784250695.620839560,8.7,0
1784250695.682981733,10.6,0
1784250695.747026736,7.9,0
1784250695.808247718,7.9,0
1784250695.869315992,7.3,0
1784250695.930227020,8.1,0
1784250695.991754952,7.9,0
1784250696.053181723,7.2,0
1784250696.113752191,7.7,0
1784250696.174793674,7.2,0
1784250696.235584181,7.9,0
1784250696.297089229,10.0,0
1784250696.360423177,10.3,0
1784250696.423759218,10.0,0
1784250696.487141839,8.7,0
1784250696.549132304,10.9,0
1784250696.613262676,9.0,0
1784250696.675610476,10.1,0
1784250696.738966778,9.6,0
1784250696.801878142,9.2,0
1784250696.864389758,9.8,0
1784250696.927425850,9.5,0
1784250696.990345608,11.0,0
1784250697.054704771,8.2,0
1784250697.116393224,9.4,0
1784250697.179145300,9.9,0
1784250697.242309253,10.7,0
1784250697.306344552,10.0,0
1784250697.369542847,10.2,0
1784250697.433042924,9.3,0
1784250697.495807609,9.0,0
1784250697.558219806,8.7,0
1784250697.620501627,10.2,0
1784250697.684242555,9.5,0
1784250697.747208421,8.5,0
1784250697.809071906,9.9,0
1784250697.872696079,9.9,0
1784250697.935703878,9.3,0
1784250697.998349855,9.4,0
1784250698.061216703,10.0,0
1784250698.124651963,9.6,0
1784250698.187794975,10.1,0
1784250698.251152047,8.4,0
1784250698.312819338,10.3,0
1784250698.376396440,10.0,0
1784250698.439690628,9.5,0
1784250698.502684907,9.4,0
1784250698.565627108,10.2,0
1784250698.629137080,9.0,0
1784250698.691504590,9.9,0
1784250698.754596315,9.9,0
1784250698.817700669,10.4,0
1784250698.881207516,9.5,0
1784250698.944003628,9.0,0
1784250699.006383767,10.0,0
1784250699.069744855,9.8,0
1784250699.132918042,10.7,0
1784250699.197097026,8.0,0
1784250699.258406440,10.0,0
1784250699.321662371,10.2,0
1784250699.385099133,9.2,0
1784250699.447661855,9.2,0
1784250699.510222525,10.2,0
1784250699.573884203,9.5,0
1784250699.636859734,9.0,0
1784250699.699333393,10.3,0
1784250699.763206028,8.6,0
1784250699.825138336,10.4,0
1784250699.889016008,9.9,0
1784250699.952402645,9.4,0
1784250700.015025808,9.9,0
1784250700.078324442,8.8,0
1784250700.140368738,9.5,0
1784250700.203235255,10.2,0
1784250700.266746799,9.0,0
1784250700.329028781,9.8,0
1784250700.392195929,10.5,0
1784250700.455891207,9.0,0
