cell,reload,peers_total,peers_changed,peers_stable,prefixes,completion_p50_s,completion_p95_s,completion_max_s,changed_maxgap_p50_ms,changed_maxgap_p95_ms,changed_maxgap_max_ms,all_observer_maxgap_p50_ms,all_observer_maxgap_p95_ms,all_observer_maxgap_max_ms,changed_first_generation_update_p50_ms,changed_first_generation_update_p95_ms,changed_first_generation_update_max_ms,rss_before_mib,rss_after_mib,stable_marker_peers,sessions_up,parse_errors
rustbgpd-sighup,1,320,320,0,183040,1.315869,1.370549,1.373983,508.301,535.012,542.609,508.301,535.012,542.609,1117.230,1144.219,1151.186,498,629,0,320,0
rustbgpd-sighup,2,320,320,0,183040,1.268182,1.380202,1.388473,508.272,644.054,688.698,508.272,644.054,688.698,1117.082,1252.571,1297.361,560,666,0,320,0
rustbgpd-sighup,3,320,320,0,183040,1.245139,1.334837,1.347178,493.993,640.423,721.530,493.993,640.423,721.530,1088.131,1234.348,1315.175,558,657,0,320,0
rustbgpd-sighup,4,320,320,0,183040,1.265721,1.341420,1.348260,514.253,621.872,738.870,514.253,621.872,738.870,1111.927,1219.882,1336.386,560,656,0,320,0
