members,variant,table_routes,withheld_routes,cold_convergence_seconds,apply_seconds,apply_allocated_delta_bytes,apply_rss_delta_kib,blocked_allocated_bytes,recovery_apply_seconds,recovery_seconds,recovery_wall_seconds,recovery_max_slice_bucket_lower_seconds,recovery_max_slice_bucket_upper_seconds,recovered_allocated_bytes,recovered_vm_rss_kib,recovered_vm_hwm_kib,rss_samples,sampled_max_vm_rss_kib,sampled_max_vm_hwm_kib,checks_total,checks_failed
1,candidate,400000,64,0.707307,0.01211113,3161832,1000,335846224,2.4878e-05,0.279815701,1.405839337,0.2,0.5,332659856,339388,469180,11,354300,469180,67,0
1,parent,400000,64,0.707334,0.020562114,10059664,7560,342341888,0.000891334,0.369274958,1.500116357,0.2,0.5,332290792,332184,472260,11,381372,472260,67,0
10,candidate,400000,64,0.808531,0.148598562,31500344,7320,364704448,0.001016001,2.705345022,3.930045798,0.2,0.5,332961704,386056,537412,14,545216,545216,427,0
10,parent,400000,64,0.808548,0.222357119,99983496,99944,433011440,0.007920706,2.676880191,3.831663663,0.2,0.5,333518432,362124,537856,15,511124,537856,427,0
100,candidate,400000,64,1.212293,1.523071596,315423808,272128,658950544,0.008389188,27.107331697,29.314140243,0.2,0.5,343877144,359236,676484,46,679224,676484,4027,0
100,parent,400000,64,1.212879,2.064777307,997022824,959044,1340188608,0.05933088,26.998912601,29.285718989,0.2,0.5,343668216,367144,1341024,43,1344196,1344196,4027,0
