epoch_s,total_rss_kib,pids
1784277400,66108,1
1784277406,4398628,1
1784277411,8739992,1
1784277416,13296368,1
1784277421,17678856,1
1784277426,22213964,1
1784277432,26694004,1
1784277437,32613008,1
1784277443,35302728,1
1784277448,39629112,1
1784277454,44413260,1
1784277459,48800476,1
1784277465,53022832,1
1784277471,57446232,1
1784277476,59678616,1
1784277482,63924472,1
1784277488,68703628,1
1784277494,73714312,1
1784277500,78679864,1
1784277506,82788080,1
1784277512,87193140,1
1784277518,92138200,1
1784277524,97021212,1
1784277530,102355712,1
1784277536,106644064,1
1784277542,109026732,1
