repeat,cell,reload,peers_total,peers_changed,peers_stable,prefixes,completion_p50_s,completion_p95_s,completion_max_s,changed_maxgap_p50_ms,changed_maxgap_p95_ms,changed_maxgap_max_ms,all_observer_maxgap_p50_ms,all_observer_maxgap_p95_ms,all_observer_maxgap_max_ms,changed_first_generation_update_p50_ms,changed_first_generation_update_p95_ms,changed_first_generation_update_max_ms,rss_before_mib,rss_after_mib,stable_marker_peers,sessions_up,parse_errors
A,rustbgpd-sighup,1,320,320,0,183040,0.937820,0.993619,1.030033,505.303,524.195,567.598,505.303,524.195,567.598,813.481,831.995,876.090,501,623,0,320,0
A,rustbgpd-sighup,2,320,320,0,183040,0.895654,0.961039,1.051689,486.238,540.262,582.579,486.238,540.262,582.579,783.716,837.482,881.039,556,669,0,320,0
A,rustbgpd-sighup,3,320,320,0,183040,0.876168,0.939993,0.946920,539.835,584.482,642.121,539.835,584.482,642.121,771.201,815.857,873.450,559,661,0,320,0
A,rustbgpd-sighup,4,320,320,0,183040,0.881663,0.936335,0.940787,456.616,527.106,586.846,456.616,527.106,586.846,769.781,839.673,899.482,559,662,0,320,0
A,bird,1,320,320,0,183040,13.844826,14.713078,14.810221,865.214,1660.560,2312.921,869.721,1660.560,2312.921,1752.023,2191.468,2938.306,0,0,0,320,0
A,bird,2,320,320,0,183040,13.490652,14.720608,14.813483,890.770,1692.808,2495.070,917.493,1954.131,2495.070,1578.074,2002.865,2777.529,0,0,0,320,0
A,bird,3,320,320,0,183040,13.701238,14.518188,14.606252,855.180,2038.367,2620.090,892.940,2038.367,2620.090,1490.405,1895.628,2632.216,0,0,0,320,0
A,bird,4,320,320,0,183040,13.355930,14.693760,14.734690,871.563,1461.389,2453.462,1010.685,1632.970,2453.462,1504.873,1925.968,2787.101,0,0,0,320,0
A,openbgpd,1,320,320,0,183040,53.647869,53.652537,53.659568,381.894,382.394,396.918,381.894,382.394,396.918,7271.559,7272.218,7381.414,0,0,0,320,0
A,openbgpd,2,320,320,0,183040,57.968279,57.970788,57.972050,425.429,425.897,425.954,425.429,425.897,425.954,7075.149,7075.869,7241.567,0,0,0,320,0
A,openbgpd,3,320,320,0,183040,61.375582,61.384883,61.386979,431.021,431.441,431.469,431.021,431.441,431.469,7190.379,7191.170,7365.087,0,0,0,320,0
A,openbgpd,4,320,320,0,183040,58.958328,58.962118,58.963537,438.272,438.804,438.847,438.272,438.804,438.847,7104.887,7105.753,7337.562,0,0,0,320,0
B,rustbgpd-sighup,1,320,320,0,183040,1.012062,1.096303,1.247391,515.569,553.832,558.805,515.569,553.832,558.805,813.375,852.142,856.925,500,626,0,320,0
B,rustbgpd-sighup,2,320,320,0,183040,0.951371,1.046210,1.073251,489.282,695.098,730.439,489.282,695.098,730.439,787.589,993.853,1028.440,557,664,0,320,0
B,rustbgpd-sighup,3,320,320,0,183040,0.938912,1.033664,1.044707,537.229,645.166,755.250,537.229,645.166,755.250,778.726,886.604,996.510,559,654,0,320,0
B,rustbgpd-sighup,4,320,320,0,183040,0.943033,1.015151,1.021960,540.630,716.518,777.751,540.630,716.518,777.751,769.936,945.616,1007.246,560,663,0,320,0
B,bird,1,320,320,0,183040,14.107266,15.607102,15.708209,855.812,1619.492,2260.708,1350.688,1794.972,2260.708,1750.258,2110.947,2835.412,0,0,0,320,0
B,bird,2,320,320,0,183040,13.854561,14.632836,14.697180,842.449,1186.090,2519.949,852.410,1325.704,2519.949,1478.992,1838.598,1957.680,0,0,0,320,0
B,bird,3,320,320,0,183040,15.211268,15.995059,16.088728,839.165,1607.878,2276.791,852.170,1607.878,2276.791,1483.083,1925.232,2639.400,0,0,0,320,0
B,bird,4,320,320,0,183040,13.558383,15.555323,15.726333,900.332,3363.737,5374.889,903.443,3363.737,5374.889,1570.346,2034.350,3488.937,0,0,0,320,0
B,openbgpd,1,320,320,0,183040,53.286127,53.291849,53.296494,362.132,362.410,382.437,362.132,362.410,382.437,7308.784,7309.466,7469.710,0,0,0,320,0
B,openbgpd,2,320,320,0,183040,57.672610,57.676247,57.677969,426.556,427.011,427.049,426.556,427.011,427.049,7145.276,7146.051,7301.970,0,0,0,320,0
B,openbgpd,3,320,320,0,183040,61.242112,61.251174,61.252887,416.905,417.367,417.396,416.905,417.367,417.396,7289.521,7290.224,7578.603,0,0,0,320,0
B,openbgpd,4,320,320,0,183040,58.742880,58.745319,58.747056,480.265,480.673,480.713,480.265,480.673,480.713,7103.705,7104.392,7313.469,0,0,0,320,0
