repeat,cell,reload,peers_total,peers_changed,peers_stable,prefixes,completion_p50_s,completion_p95_s,completion_max_s,changed_maxgap_p50_ms,changed_maxgap_p95_ms,changed_maxgap_max_ms,all_observer_maxgap_p50_ms,all_observer_maxgap_p95_ms,all_observer_maxgap_max_ms,changed_first_generation_update_p50_ms,changed_first_generation_update_p95_ms,changed_first_generation_update_max_ms,rss_before_mib,rss_after_mib,stable_marker_peers,sessions_up,parse_errors
A,rustbgpd-sighup,1,320,320,0,183040,0.934602,0.988360,0.991209,428.789,486.256,526.170,428.789,486.256,526.170,775.098,832.574,872.066,480,589,0,320,0
A,rustbgpd-sighup,2,320,320,0,183040,0.872416,0.948970,1.078841,422.646,590.797,630.588,422.646,590.797,630.588,736.257,904.483,944.616,538,634,0,320,0
A,rustbgpd-sighup,3,320,320,0,183040,0.883523,0.954925,1.110372,411.696,500.952,595.522,411.696,500.952,595.522,748.491,837.763,932.698,538,630,0,320,0
A,rustbgpd-sighup,4,320,320,0,183040,0.851724,0.923698,0.929150,410.501,478.408,576.278,410.501,478.408,576.278,735.483,804.368,901.271,540,622,0,320,0
A,bird,1,320,320,0,183040,13.273609,14.084062,14.189417,840.414,1370.892,2097.781,896.208,1570.374,2097.781,1714.186,2126.181,2246.585,0,0,0,320,0
A,bird,2,320,320,0,183040,13.062389,14.336332,14.500341,843.523,1425.245,2169.344,843.673,1425.245,2169.344,1538.510,1978.267,2171.966,0,0,0,320,0
A,bird,3,320,320,0,183040,12.991837,14.512885,14.665887,851.048,1637.138,2260.486,905.251,1638.101,2260.486,1465.490,1919.214,2695.231,0,0,0,320,0
A,bird,4,320,320,0,183040,11.860514,14.703360,14.801561,907.116,1684.776,2400.074,1095.219,1738.764,2400.074,1525.143,2043.069,2727.447,0,0,0,320,0
A,openbgpd,1,320,320,0,183040,51.486466,51.487764,51.487903,368.577,368.914,381.644,368.577,368.914,381.644,7356.816,7357.483,7506.406,0,0,0,320,0
A,openbgpd,2,320,320,0,183040,43.598581,43.600278,43.600351,412.494,412.899,427.937,412.494,412.899,427.937,7305.131,7305.816,7404.774,0,0,0,320,0
A,openbgpd,3,320,320,0,183040,57.569258,57.573473,57.573571,423.376,423.779,439.592,423.376,423.779,439.592,7365.473,7366.236,7547.520,0,0,0,320,0
A,openbgpd,4,320,320,0,183040,43.875845,43.877992,43.886570,423.185,423.925,423.989,423.185,423.925,423.989,7294.683,7295.375,7412.386,0,0,0,320,0
B,rustbgpd-sighup,1,320,320,0,183040,0.966410,1.036409,1.179285,432.612,473.549,483.737,432.612,473.549,483.737,770.016,811.007,821.736,479,589,0,320,0
B,rustbgpd-sighup,2,320,320,0,183040,0.887245,0.990916,1.129553,399.532,537.897,592.932,399.532,537.897,592.932,736.554,874.847,929.637,537,633,0,320,0
B,rustbgpd-sighup,3,320,320,0,183040,0.888661,0.968230,1.027554,453.735,555.967,628.653,453.735,555.967,628.653,732.266,834.439,907.560,539,625,0,320,0
B,rustbgpd-sighup,4,320,320,0,183040,0.888811,0.980427,0.990510,398.725,590.326,636.082,398.725,590.326,636.082,731.171,923.530,968.982,539,636,0,320,0
B,bird,1,320,320,0,183040,12.686421,14.125612,14.233557,834.537,1471.418,2218.188,842.422,1480.104,2218.188,1674.632,2056.705,2140.619,0,0,0,320,0
B,bird,2,320,320,0,183040,12.413115,14.216810,14.312991,862.129,1512.785,2195.367,862.129,1512.785,2195.367,1463.564,1863.559,1941.084,0,0,0,320,0
B,bird,3,320,320,0,183040,12.656402,14.275562,14.401356,897.691,1736.830,2049.631,912.440,1736.830,2049.631,1492.584,1964.252,2831.807,0,0,0,320,0
B,bird,4,320,320,0,183040,12.969213,14.098470,14.207178,882.677,1654.519,2406.740,914.061,1671.753,2406.740,1491.724,1901.414,2773.031,0,0,0,320,0
B,openbgpd,1,320,320,0,183040,51.864224,51.865838,51.865912,358.505,358.757,361.138,358.505,358.757,361.138,7140.534,7141.397,7233.031,0,0,0,320,0
B,openbgpd,2,320,320,0,183040,42.938589,42.941606,42.941732,416.819,417.352,428.924,416.819,417.352,428.924,7192.284,7192.970,7332.833,0,0,0,320,0
B,openbgpd,3,320,320,0,183040,58.172230,58.186687,58.187004,430.384,431.324,431.419,430.384,431.324,431.419,7111.996,7112.716,7365.729,0,0,0,320,0
B,openbgpd,4,320,320,0,183040,43.345162,43.348239,43.348337,430.173,431.003,431.079,430.173,431.003,431.079,7211.528,7212.660,7342.490,0,0,0,320,0
