timestamp,elapsed_sec,rss_mb,live_target_macs,local_fdb_count,frr_type2_count,bgp_established,churn_cycles,mac_add_total,mac_del_total,originations_inject,originations_withdraw,origination_errors_inject,origination_errors_withdraw,observation_drops_total,duplicate_mac_moves_total
2026-05-18T02:40:06Z,2896,20.418,1024,2048,1024,1,576,15424,14400,15427,14403,0,0,0,0
2026-05-18T02:41:06Z,2956,20.602,1024,2048,1024,1,588,15724,14700,15727,14703,0,0,0,0
2026-05-18T02:42:07Z,3016,20.832,1024,2048,1024,1,600,16024,15000,16027,15003,0,0,0,0
2026-05-18T02:43:07Z,3077,20.832,1024,2048,1024,1,612,16324,15300,16327,15303,0,0,0,0
2026-05-18T02:44:07Z,3137,20.621,1024,2048,1024,1,624,16624,15600,16627,15603,0,0,0,0
2026-05-18T02:45:08Z,3197,21.215,1024,2048,1024,1,636,16924,15900,16927,15903,0,0,0,0
2026-05-18T02:46:08Z,3258,21.215,1024,2048,1024,1,648,17224,16200,17227,16203,0,0,0,0
2026-05-18T02:47:08Z,3318,21.215,1024,2048,1024,1,660,17524,16500,17527,16503,0,0,0,0
2026-05-18T02:48:09Z,3378,21.215,1024,2048,1024,1,672,17824,16800,17827,16803,0,0,0,0
2026-05-18T02:49:09Z,3438,21.215,1024,2048,1024,1,684,18124,17100,18127,17103,0,0,0,0
2026-05-18T02:50:09Z,3499,21.215,1024,2048,1024,1,696,18424,17400,18427,17403,0,0,0,0
2026-05-18T02:51:10Z,3559,21.215,1024,2048,1024,1,708,18724,17700,18727,17703,0,0,0,0
2026-05-18T02:52:10Z,3620,21.215,1024,2048,1024,1,720,19024,18000,19027,18003,0,0,0,0
2026-05-18T02:53:10Z,3680,21.215,1024,2048,1024,1,732,19324,18300,19327,18303,0,0,0,0
2026-05-18T02:54:11Z,3740,21.215,1024,2048,1024,1,744,19624,18600,19628,18603,0,0,0,0
2026-05-18T02:55:11Z,3801,21.215,1024,2048,1024,1,756,19924,18900,19928,18903,0,0,0,0
2026-05-18T02:56:12Z,3862,21.215,1024,2048,1024,1,768,20224,19200,20228,19203,0,0,0,0
2026-05-18T02:57:12Z,3922,21.215,1024,2048,1024,1,780,20524,19500,20528,19503,0,0,0,0
2026-05-18T02:58:13Z,3982,21.215,1024,2048,1024,1,792,20824,19800,20828,19803,0,0,0,0
2026-05-18T02:59:13Z,4043,21.215,1024,2048,1024,1,804,21124,20100,21128,20104,0,0,0,0
2026-05-18T03:00:13Z,4103,21.215,1024,2048,1024,1,816,21424,20400,21428,20404,0,0,0,0
2026-05-18T03:01:13Z,4163,21.215,1024,2048,1024,1,828,21724,20700,21728,20704,0,0,0,0
2026-05-18T03:02:14Z,4223,21.215,1024,2048,1024,1,840,22024,21000,22028,21004,0,0,0,0
2026-05-18T03:03:14Z,4284,21.215,1024,2048,1024,1,852,22324,21300,22328,21304,0,0,0,0
2026-05-18T03:04:14Z,4344,21.215,1024,2048,1024,1,864,22624,21600,22628,21604,0,0,0,0
2026-05-18T03:05:14Z,4404,21.215,1024,2048,1024,1,876,22924,21900,22928,21904,0,0,0,0
2026-05-18T03:06:15Z,4464,21.215,1024,2048,1024,1,888,23224,22200,23228,22204,0,0,0,0
2026-05-18T03:07:15Z,4524,21.215,1024,2048,1024,1,900,23524,22500,23528,22504,0,0,0,0
2026-05-18T03:08:15Z,4585,21.828,1024,2048,1024,1,912,23824,22800,23828,22804,0,0,0,0
2026-05-18T03:09:15Z,4645,21.828,1024,2048,1024,1,924,24124,23100,24128,23104,0,0,0,0
2026-05-18T03:10:15Z,4705,21.828,1024,2048,1024,1,936,24424,23400,24428,23404,0,0,0,0
2026-05-18T03:11:16Z,4765,21.828,1024,2048,1024,1,948,24724,23700,24728,23704,0,0,0,0
