phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1924933.54	2026-07-26T19:33:49Z	0.67	64/64	none	111172552	1048576	0	0	1
postbuild	1924935.93	2026-07-26T19:33:51Z	0.67	64/64	none	111128304	1048576	0	0	1
