name,target,version,peers,prefixes per peer,required,received,monitor (s),elapsed (s),prefix received (s),testers (s),total time,max cpu %,max mem (GB),min idle%,min free mem (GB),flags,date,cores,Mem (GB),tester errors,tester timeouts,failed,MSG,filters,max foreign cpu %,target image,tester version,monitor version,source_file
rustbgpd v0.68.0,rustbgpd,rustbgpd 0.68.0,2,10000,19800,20000,0,2,1,1,8.24,6,0.04,99,106.239,,2026-08-30,64,125.29GB,0,0,,,,4,bgperf/rustbgpd:latest,2.19.2,4.8.0,r02-s01-2x10000-03-rustbgpd.csv
FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,2,10000,19800,20000,0,3,2,1,9.34,6,0.042,99,106.228,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/frr_c:10.7.0,2.19.2,4.8.0,r02-s01-2x10000-04-frr_c.csv
BIRD 2.19.2,bird,2.19.2,2,100000,198000,200000,1,3,1,2,13.46,6,0.028,95,105.959,,2026-08-30,64,125.29GB,0,0,,,,7,bgperf/bird:2.19.2,2.19.2,4.8.0,r02-s02-2x100000-01-bird.csv
GoBGP 4.8.0,gobgp,4.8.0,2,100000,198000,200000,1,4,2,2,14.62,692,0.392,84,105.576,,2026-08-30,64,125.29GB,0,0,,,,6,bgperf/gobgp:4.8.0,2.19.2,4.8.0,r02-s02-2x100000-02-gobgp.csv
rustbgpd v0.68.0,rustbgpd,rustbgpd 0.68.0,2,100000,198000,200000,0,3,1,2,12.48,36,0.195,94,105.767,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/rustbgpd:latest,2.19.2,4.8.0,r02-s02-2x100000-03-rustbgpd.csv
FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,2,100000,198000,200000,0,4,2,2,13.55,78,0.266,96,105.667,,2026-08-30,64,125.29GB,0,0,,,,4,bgperf/frr_c:10.7.0,2.19.2,4.8.0,r02-s02-2x100000-04-frr_c.csv
BIRD 2.19.2,bird,2.19.2,30,1000,29700,30000,0,3,1,2,9.76,16,0.012,97,106.141,,2026-08-30,64,125.29GB,0,0,,,,7,bgperf/bird:2.19.2,2.19.2,4.8.0,r02-s03-30x1000-01-bird.csv
GoBGP 4.8.0,gobgp,4.8.0,30,1000,29700,30000,0,4,1,3,10.93,1306,0.509,73,105.674,,2026-08-30,64,125.29GB,0,0,,,,6,bgperf/gobgp:4.8.0,2.19.2,4.8.0,r02-s03-30x1000-02-gobgp.csv
rustbgpd v0.68.0,rustbgpd,rustbgpd 0.68.0,30,1000,29700,30000,0,2,1,1,8.79,14,0.062,99,106.079,,2026-08-30,64,125.29GB,0,0,,,,6,bgperf/rustbgpd:latest,2.19.2,4.8.0,r02-s03-30x1000-03-rustbgpd.csv
FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,30,1000,29700,30000,0,4,3,1,10.91,10,0.056,99,106.178,,2026-08-30,64,125.29GB,0,0,,,,6,bgperf/frr_c:10.7.0,2.19.2,4.8.0,r02-s03-30x1000-04-frr_c.csv
BIRD 2.19.2,bird,2.19.2,100,1000,99000,100000,0,5,1,4,14.14,100,0.032,87,106.053,,2026-08-30,64,125.29GB,0,0,,,,4,bgperf/bird:2.19.2,2.19.2,4.8.0,r02-s04-100x1000-01-bird.csv
GoBGP 4.8.0,gobgp,4.8.0,100,1000,99000,100000,8,16,1,15,33.32,2809,4.902,43,100.995,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/gobgp:4.8.0,2.19.2,4.8.0,r02-s04-100x1000-02-gobgp.csv
rustbgpd v0.68.0,rustbgpd,rustbgpd 0.68.0,100,1000,99000,100000,0,3,1,2,11.93,125,0.252,95,105.692,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/rustbgpd:latest,2.19.2,4.8.0,r02-s04-100x1000-03-rustbgpd.csv
FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,100,1000,99000,100000,0,7,6,1,15.91,25,0.152,97,105.938,,2026-08-30,64,125.29GB,0,0,,,,8,bgperf/frr_c:10.7.0,2.19.2,4.8.0,r02-s04-100x1000-04-frr_c.csv
BIRD 2.19.2,bird,2.19.2,10,1000,9900,10000,0,2,1,1,8.2,2,0.009,99,106.226,,2026-08-30,64,125.29GB,0,0,,,,6,bgperf/bird:2.19.2,2.19.2,4.8.0,r02-s05-10x1000-01-bird.csv
GoBGP 4.8.0,gobgp,4.8.0,10,1000,9900,10000,1,3,1,2,10.34,171,0.112,96,106.189,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/gobgp:4.8.0,2.19.2,4.8.0,r02-s05-10x1000-02-gobgp.csv
rustbgpd v0.68.0,rustbgpd,rustbgpd 0.68.0,10,1000,9900,10000,0,2,1,1,8.24,6,0.03,99,106.232,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/rustbgpd:latest,2.19.2,4.8.0,r02-s05-10x1000-03-rustbgpd.csv
FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,10,1000,9900,10000,1,3,2,1,10.29,6,0.03,99,106.263,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/frr_c:10.7.0,2.19.2,4.8.0,r02-s05-10x1000-04-frr_c.csv
GoBGP 4.8.0,gobgp,4.8.0,2,100000,198000,200000,1,4,1,3,14.56,786,0.381,82,105.586,,2026-08-30,64,125.29GB,0,0,,,,4,bgperf/gobgp:4.8.0,2.19.2,4.8.0,r03-s01-2x100000-01-gobgp.csv
FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,2,100000,198000,200000,0,4,2,2,13.54,86,0.267,95,105.724,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/frr_c:10.7.0,2.19.2,4.8.0,r03-s01-2x100000-02-frr_c.csv
BIRD 2.19.2,bird,2.19.2,2,100000,198000,200000,1,3,1,2,13.54,6,0.028,94,105.986,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/bird:2.19.2,2.19.2,4.8.0,r03-s01-2x100000-03-bird.csv
rustbgpd v0.68.0,rustbgpd,rustbgpd 0.68.0,2,100000,198000,200000,0,3,1,2,12.41,38,0.184,93,105.779,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/rustbgpd:latest,2.19.2,4.8.0,r03-s01-2x100000-04-rustbgpd.csv
GoBGP 4.8.0,gobgp,4.8.0,30,1000,29700,30000,0,4,1,3,10.93,1218,0.569,74,105.636,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/gobgp:4.8.0,2.19.2,4.8.0,r03-s02-30x1000-01-gobgp.csv
FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,30,1000,29700,30000,0,4,3,1,10.91,9,0.058,99,106.147,,2026-08-30,64,125.29GB,0,0,,,,6,bgperf/frr_c:10.7.0,2.19.2,4.8.0,r03-s02-30x1000-02-frr_c.csv
BIRD 2.19.2,bird,2.19.2,30,1000,29700,30000,0,2,1,1,8.82,14,0.013,97,106.199,,2026-08-30,64,125.29GB,0,0,,,,3,bgperf/bird:2.19.2,2.19.2,4.8.0,r03-s02-30x1000-03-bird.csv
rustbgpd v0.68.0,rustbgpd,rustbgpd 0.68.0,30,1000,29700,30000,0,7,1,6,13.96,20,0.112,99,106.102,,2026-08-30,64,125.29GB,0,0,,,,7,bgperf/rustbgpd:latest,2.19.2,4.8.0,r03-s02-30x1000-04-rustbgpd.csv
GoBGP 4.8.0,gobgp,4.8.0,100,1000,99000,100000,0,16,1,15,24.79,2720,4.769,46,101.201,,2026-08-30,64,125.29GB,0,0,,,,6,bgperf/gobgp:4.8.0,2.19.2,4.8.0,r03-s03-100x1000-01-gobgp.csv
