phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1850475.54	2026-07-25T22:52:51Z	0.98	64/64	none	108908088	1048576	0	0	1
postbuild	1850477.96	2026-07-25T22:52:53Z	0.90	64/64	none	108885992	1048576	0	0	1
