0	2001:db8:112:10::2	2001:db8:112:10::1	1404636855	ffffffffffffffffffffffffffffffff002b0104fde9005a0a7000020e020c01040019004641040000fde9
0	2001:db8:112:10::1	2001:db8:112:10::2	1275604638	ffffffffffffffffffffffffffffffff00390104fde9005a0a7000011c021a010400190046400640780019460002004600060041040000fde9
0	2001:db8:112:10::1	2001:db8:112:10::2	1275604695	ffffffffffffffffffffffffffffffff001304
1	2001:db8:112:20::2	2001:db8:112:20::1	2109798225	ffffffffffffffffffffffffffffffff004d0104fde9005a0a70000330022e0200490705676f626770004b0d0c476f4247502f332e33372e3001040019004641040000fde90506001900460002
0	2001:db8:112:10::2	2001:db8:112:10::1	1404636898	ffffffffffffffffffffffffffffffff001304
1	2001:db8:112:20::1	2001:db8:112:20::2	4150777192	ffffffffffffffffffffffffffffffff00390104fde9005a0a7000011c021a010400190046400640780019460002004600060041040000fde9
1	2001:db8:112:20::2	2001:db8:112:20::1	2109798302	ffffffffffffffffffffffffffffffff001304
1	2001:db8:112:20::1	2001:db8:112:20::2	4150777249	ffffffffffffffffffffffffffffffff001304
0	2001:db8:112:10::1	2001:db8:112:10::2	1275604714	ffffffffffffffffffffffffffffffff001d0200000006800f03001946
1	2001:db8:112:20::1	2001:db8:112:20::2	4150777268	ffffffffffffffffffffffffffffffff001d0200000006800f03001946
0	2001:db8:112:10::2	2001:db8:112:10::1	1404636917	ffffffffffffffffffffffffffffffff0093020000007c4001010040020040050400000064c010080002fde900000070800e380019461020010db801120010000000000000000200022100010a700002007000000000000000000000000000003002000000011200000030c028250600220001001e0020010db801120001000100000000000000001700010006281810000000
1	2001:db8:112:20::1	2001:db8:112:20::2	4150777297	ffffffffffffffffffffffffffffffff00a1020000008a4001010040020040050400000064c010080002fde900000070e028250600220001001e0020010db8011200010001000000000000000017000100062818100000008009040a700002800a040a700001800e380019461020010db801120010000000000000000200022100010a700002007000000000000000000000000000003002000000011200000030
0	2001:db8:112:10::2	2001:db8:112:10::1	1404637064	ffffffffffffffffffffffffffffffff0093020000007c4001010040020040050400000064c010080002fde900000070800e380019461020010db801120010000000000000000200022100010a700002007000000000000000000000000000003002000000021200000030c028250600220001001e0020010db801120001000100000000000000001700010006281810000000
1	2001:db8:112:20::1	2001:db8:112:20::2	4150777458	ffffffffffffffffffffffffffffffff00a1020000008a4001010040020040050400000064c010080002fde900000070e028250600220001001e0020010db8011200010001000000000000000017000100062818100000008009040a700002800a040a700001800e380019461020010db801120010000000000000000200022100010a700002007000000000000000000000000000003002000000021200000030
0	2001:db8:112:10::2	2001:db8:112:10::1	1404637211	ffffffffffffffffffffffffffffffff0093020000007c4001010040020040050400000064c010080002fde900000070800e380019461020010db801120010000000000000000200022100010a700002007000000000000000000000000000003002000000011200000030c028250600220001001e0020010db801120001000100000000000000001700010007281810000000
1	2001:db8:112:20::1	2001:db8:112:20::2	4150777619	ffffffffffffffffffffffffffffffff00400200000029800f26001946022100010a700002007000000000000000000000000000003002000000011200000000
0	2001:db8:112:10::2	2001:db8:112:10::1	1404637358	ffffffffffffffffffffffffffffffff0093020000007c4001010040020040050400000064c010080002fde900000070800e380019461020010db801120010000000000000000200022100010a700002007000000000000000000000000000003002000000011200000030c028250600220001001e0020010db801120001000100000000000000001700010006281810000000
1	2001:db8:112:20::1	2001:db8:112:20::2	4150777683	ffffffffffffffffffffffffffffffff00a1020000008a4001010040020040050400000064c010080002fde900000070e028250600220001001e0020010db8011200010001000000000000000017000100062818100000008009040a700002800a040a700001800e380019461020010db801120010000000000000000200022100010a700002007000000000000000000000000000003002000000011200000030
0	2001:db8:112:10::2	2001:db8:112:10::1	1404637505	ffffffffffffffffffffffffffffffff00400200000029800f26001946022100010a700002007000000000000000000000000000003002000000011200000030
1	2001:db8:112:20::1	2001:db8:112:20::2	4150777844	ffffffffffffffffffffffffffffffff00400200000029800f26001946022100010a700002007000000000000000000000000000003002000000011200000000
0	2001:db8:112:10::2	2001:db8:112:10::1	1404637569	ffffffffffffffffffffffffffffffff00400200000029800f26001946022100010a700002007000000000000000000000000000003002000000021200000030
1	2001:db8:112:20::1	2001:db8:112:20::2	4150777908	ffffffffffffffffffffffffffffffff00400200000029800f26001946022100010a700002007000000000000000000000000000003002000000021200000000
