phase,arm,run,metric,round,value,unit
matrix-s3,main-33f8e7142,3,flap_withdraw_p50,2,0.49,s
matrix-s3,main-33f8e7142,3,flap_withdraw_p50,3,0.52,s
matrix-s3,main-33f8e7142,3,flap_reannounce_p50,1,0.52,s
matrix-s3,main-33f8e7142,3,flap_reannounce_p50,2,0.52,s
matrix-s3,main-33f8e7142,3,flap_reannounce_p50,3,0.53,s
matrix-s3,main-33f8e7142,3,flap_first_reannounce_p50,1,0.32,s
matrix-s3,main-33f8e7142,3,flap_first_reannounce_p50,2,0.31,s
matrix-s3,main-33f8e7142,3,flap_first_reannounce_p50,3,0.32,s
matrix-s3,main-33f8e7142,3,flap_post_round_rss,1,388,MiB
matrix-s3,main-33f8e7142,3,flap_post_round_rss,2,405,MiB
matrix-s3,main-33f8e7142,3,flap_post_round_rss,3,407,MiB
matrix-s3,main-33f8e7142,3,settled_rss_last_sample,,531304,KiB
matrix-s3,main-33f8e7142,3,peak_rss_sample,,632248,KiB
matrix-s3,main-33f8e7142,3,daemon_vmhwm,,664188,KiB
matrix-s2,v0.72.0,1,established,1,0.7,s
matrix-s2,v0.72.0,1,cold_convergence,1,3.8,s
matrix-s2,v0.72.0,1,reload_completion_p50,1,1.62,s
matrix-s2,v0.72.0,1,reload_completion_p50,2,1.50,s
matrix-s2,v0.72.0,1,reload_completion_p50,3,1.45,s
matrix-s2,v0.72.0,1,reload_completion_p50,4,1.48,s
matrix-s2,v0.72.0,1,reload_changed_maxgap_p50,1,470.08,ms
matrix-s2,v0.72.0,1,reload_changed_maxgap_p50,2,522.93,ms
matrix-s2,v0.72.0,1,reload_changed_maxgap_p50,3,525.93,ms
matrix-s2,v0.72.0,1,reload_changed_maxgap_p50,4,504.58,ms
matrix-s2,v0.72.0,1,settled_rss_last_sample,,393648,KiB
matrix-s2,v0.72.0,1,peak_rss_sample,,580936,KiB
matrix-s2,v0.72.0,1,daemon_vmhwm,,630784,KiB
matrix-s3,v0.72.0,1,established,1,0.7,s
matrix-s3,v0.72.0,1,cold_convergence,1,3.6,s
matrix-s3,v0.72.0,1,flap_withdraw_p50,1,0.29,s
matrix-s3,v0.72.0,1,flap_withdraw_p50,2,0.48,s
matrix-s3,v0.72.0,1,flap_withdraw_p50,3,0.44,s
matrix-s3,v0.72.0,1,flap_reannounce_p50,1,0.50,s
matrix-s3,v0.72.0,1,flap_reannounce_p50,2,0.49,s
matrix-s3,v0.72.0,1,flap_reannounce_p50,3,0.50,s
matrix-s3,v0.72.0,1,flap_first_reannounce_p50,1,0.32,s
matrix-s3,v0.72.0,1,flap_first_reannounce_p50,2,0.31,s
matrix-s3,v0.72.0,1,flap_first_reannounce_p50,3,0.32,s
matrix-s3,v0.72.0,1,flap_post_round_rss,1,414,MiB
matrix-s3,v0.72.0,1,flap_post_round_rss,2,416,MiB
matrix-s3,v0.72.0,1,flap_post_round_rss,3,410,MiB
matrix-s3,v0.72.0,1,settled_rss_last_sample,,533080,KiB
matrix-s3,v0.72.0,1,peak_rss_sample,,640648,KiB
matrix-s3,v0.72.0,1,daemon_vmhwm,,668068,KiB
matrix-s2,v0.72.0,2,established,1,0.7,s
matrix-s2,v0.72.0,2,cold_convergence,1,3.6,s
