phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1925050.37	2026-07-26T19:35:45Z	0.59	64/64	none	111168116	1048576	0	0	1
postbuild	1925052.76	2026-07-26T19:35:48Z	0.55	64/64	none	111171684	1048576	0	0	1
