phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1926605.30	2026-07-26T20:01:40Z	0.25	64/64	none	111168620	1048576	0	0	1
postbuild	1926874.70	2026-07-26T20:06:10Z	1.07	64/64	none	110633296	1048576	0	0	1
