phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1933541.80	2026-07-26T21:57:17Z	0.11	64/64	none	110849112	1048576	0	0	1
postbuild	1933810.94	2026-07-26T22:01:46Z	1.15	64/64	none	110259932	1048576	0	0	1
