pair,order,peers,control_mean_ns,control_ci_lower_ns,control_ci_upper_ns,target_mean_ns,target_ci_lower_ns,target_ci_upper_ns,delta_percent
2,target-control,256,1203556.2049603176,1178883.2071613094,1234372.0017936507,1032231.5587896823,1022520.4530436508,1044409.4016775795,-14.2349
2,target-control,1000,4774426.902837301,4692221.526458333,4879855.738261906,4244142.153571429,4151448.1966964286,4335585.0475,-11.1068
3,control-target,256,1196245.3254047618,1183609.4048279764,1212593.5852380951,1022410.4594155845,1012172.6833863638,1037289.2811233766,-14.5317
3,control-target,1000,5170655.99218254,4921567.75181746,5466824.7026339285,4011708.6049206345,3981529.2472559526,4050757.106507936,-22.4139
