peers,control_mean_ns,control_ci_lower_ns,control_ci_upper_ns,target_mean_ns,target_ci_lower_ns,target_ci_upper_ns,change_percent,change_ci_lower_percent,change_ci_upper_percent
8,61724.19702284688,61378.13413874983,62192.30937556154,55842.919530414874,55748.220942750246,55938.933076859066,-9.528317541749598,-10.224498468796444,-8.991380441476684
64,315796.1786383352,314512.4159147748,317185.8231686046,273361.7835655416,272297.49600143905,274636.3906883503,-13.43727313476819,-13.93643788939371,-12.900037461319535
256,1194219.6064665285,1188425.140923223,1200891.4956132676,1054620.2279332685,1049390.5997473276,1059873.9057244898,-11.689590237620395,-12.343937408347516,-11.068896880917864
1000,4829653.924040403,4783237.641969697,4884661.591011363,4106406.23506283,4078365.51270172,4134881.4681878304,-14.97514522474349,-16.05317041363874,-13.934003289310635
