phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1925128.22	2026-07-26T19:37:03Z	0.46	64/64	none	111147988	1048576	0	0	1
postbuild	1925130.61	2026-07-26T19:37:06Z	0.46	64/64	none	111142540	1048576	0	0	1
