peers,fixture_bytes,baseline_live_bytes,elapsed_us,allocation_calls,requested_bytes,peak_live_delta_bytes,live_delta_bytes
1,216173,598085,484,10039,2450462,2022464,1105356
10,2158860,5826945,9379,100374,24504113,14851064,11053561
31,6841920,18172448,31076,311153,75964033,44785205,34266121
32,7067780,18762611,34092,321190,78414353,46210565,35371481
33,7293640,19370694,33817,331228,80864821,46211117,36476841
95,21296960,56000800,95045,953531,232792857,115528245,105009161
96,21522820,56590963,95418,963568,235243177,116953605,106114521
97,21748680,57181126,96501,973606,237693645,116954157,107219881
100,22426261,58951616,98298,1003718,245044886,116955813,110535962
