peers,fixture_bytes,baseline_live_bytes,elapsed_us,allocation_calls,requested_bytes,peak_live_delta_bytes,live_delta_bytes
1,216173,598085,386,10039,2450462,2022464,1105356
10,2158860,5826945,7624,100381,24504621,11970668,11053561
31,6841920,18172448,24356,311179,75964449,35183225,34266121
32,7067780,18762611,25294,321217,78414917,36288585,35371481
33,7293640,19370694,26907,331255,80865385,37393945,36476841
95,21296960,56000800,79139,953611,232794401,105926265,105009161
96,21522820,56590963,82287,963649,235244869,107031625,106114521
97,21748680,57181126,80469,973687,237695337,108136985,107219881
100,22426261,58951616,83497,1003801,245046742,111453065,110535962
