peers,fixture_bytes,baseline_live_bytes,elapsed_us,allocation_calls,requested_bytes,peak_live_delta_bytes,live_delta_bytes
1,216173,588557,470,10039,2452118,2021912,1107012
10,2158860,5817417,8078,100383,24514557,11973980,11056873
100,22426261,58942088,85002,1003806,245130646,111468521,110551418
