phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1924972.47	2026-07-26T19:34:28Z	0.49	64/64	none	111145120	1048576	0	0	1
postbuild	1924974.88	2026-07-26T19:34:30Z	0.49	64/64	none	111144260	1048576	0	0	1
