name, target, version, peers, prefixes per peer, required, received, monitor (s), elapsed (s), prefix received (s), testers (s), total time, max cpu %, max mem (GB), min idle%, min free mem (GB), flags, date,cores,Mem (GB), tester errors, failed, MSG, filters
rustbgpd,rustbgpd,rustbgpd 0.60.0,10,1000,9900,10000,0,2,1,1,8.26,7,0.037,99,103.553,,2026-07-25,64,125.29GB,8,0,,,
bird,bird,2.18+branch.master.0ee9f93bd076,10,1000,9900,10000,1,2,1,1,9.22,2,0.008,98,103.516,,2026-07-25,64,125.29GB,90000,0,,,
gobgp,gobgp,4.3.0,10,1000,9900,10000,1,3,1,2,10.31,147,0.038,96,103.506,,2026-07-25,64,125.29GB,0,0,,,
frr_c,frr_c,FRRouting 10.7.0-dev-my-manual-build (ffaaf6e4b59c) on Linux(6.17.0-35-generic).,10,1000,9900,10000,1,3,2,1,10.29,4,0.027,99,103.443,,2026-07-25,64,125.29GB,0,0,,,
